Isotype	Strain	Filtered From Analysis	ReadGroup	Total Reads	Mapped Reads	Duplicate Reads	Length Estimate
ED3017	ED3017	FALSE	BGI1-RET2-ED3017	12032760	11946352	443723	23.748
ED3017	ED3017	FALSE	BGI2-RET2-ED3017	11154134	11073302	386022	22.21
ED3017	ED3017	FALSE	BGI3-RET2a-ED3017	20298112	20143972	1241600	23.957
ED3017	ED3017	FALSE	MMP-ML_2-ED3017	4313312	4258445	30479	5.202
ED3017	ED3017	FALSE	MMP-ML_3-ED3017	6496608	6429463	49517	5.495
ED3017	ED3017	FALSE	MMP-ML_5-ED3017	3663320	3626056	23108	5.765
ED3017	ED3017	FALSE	MMP-ML_6-ED3017	4968426	4910588	32104	5.376
ED3017	ED3017	FALSE	MMP-ML_7-ED3017	8993958	8885759	66673	5.389
ED3017	ED3017	FALSE	Princeton1-PL_23-ED3017	87561166	86060336	40612283	6.487
ED3017	ED3017	FALSE	UChicago2-L007-ED3017	15111837	14988297	409499	10.226
ED3040	ED3040	FALSE	BGI1-RET7-ED3040	18590072	18490902	458728	9.599
ED3040	ED3040	FALSE	BGI2-RET7-ED3040	16945251	16854492	397986	10.37
ED3040	ED3040	FALSE	BGI3-RET7a-ED3040	29187977	29031117	1045460	10.619
ED3040	ED3040	FALSE	MMP-ML_2-ED3040	4863482	4810524	42907	6.729
ED3040	ED3040	FALSE	MMP-ML_3-ED3040	8261484	8189264	86901	6.734
ED3040	ED3040	FALSE	MMP-ML_5-ED3040	3802920	3768971	23668	7.597
ED3040	ED3040	FALSE	MMP-ML_6-ED3040	4023376	3983373	24314	7.133
ED3040	ED3040	FALSE	MMP-ML_7-ED3040	7552504	7473943	51884	6.999
ED3040	ED3040	FALSE	Princeton1-PL_10-ED3040	21264882	21099982	414331	8.281
ED3040	ED3040	FALSE	Princeton1-PL_11-ED3040	46228280	45829329	1454248	8.836
ED3046	ED3046	FALSE	BGI1-RET2-ED3046	18893258	18710125	542308	17.224
ED3046	ED3046	FALSE	BGI2-RET2-ED3046	18123445	17947053	498038	16.092
ED3046	ED3046	FALSE	BGI3-RET2b-ED3046	28481469	28197096	1219954	18.787
ED3046	ED3046	FALSE	Princeton1-PL_13-ED3046	18428863	18238408	1413943	8.234
ED3046	ED3046	FALSE	Princeton1-PL_14-ED3046	42185486	41767737	5150078	8.246
ED3048	ED3042	FALSE	MMP-ML_2-ED3042	3935596	3887362	29062	6.414
ED3048	ED3042	FALSE	MMP-ML_3-ED3042	6439850	6377848	56099	6.633
ED3048	ED3042	FALSE	MMP-ML_5-ED3042	3471666	3437087	18311	7.719
ED3048	ED3042	FALSE	MMP-ML_6-ED3042	4712472	4658482	23557	6.608
ED3048	ED3042	FALSE	MMP-ML_7-ED3042	8571558	8471949	50732	6.393
ED3048	ED3048	FALSE	BGI1-RET4-ED3048	14453293	14380769	246926	14.3
ED3048	ED3048	FALSE	BGI2-RET4-ED3048	13281391	13213561	250346	13.944
ED3048	ED3048	FALSE	BGI3-RET4a-ED3048	37433552	37242810	1642443	14.255
ED3049	ED3049	FALSE	BGI1-RET1-ED3049	16776132	16066740	1018117	42.021
ED3049	ED3049	FALSE	BGI2-RET1-ED3049	15765806	15110041	934338	44.219
ED3049	ED3049	FALSE	BGI3-RET1b-ED3049	27828798	26745681	2110439	37.215
ED3049	ED3049	FALSE	MMP-ML_2-ED3049	4285784	4213565	31941	5.665
ED3049	ED3049	FALSE	MMP-ML_3-ED3049	7354118	7251342	66390	5.776
ED3049	ED3049	FALSE	MMP-ML_5-ED3049	3574992	3525463	20901	6.188
ED3049	ED3049	FALSE	MMP-ML_6-ED3049	4202292	4136863	24423	5.717
ED3049	ED3049	FALSE	MMP-ML_7-ED3049	7849990	7726741	54566	5.906
ED3049	ED3049	FALSE	Princeton1-PL_15-ED3049	13218338	12877700	210458	8.166
ED3049	ED3049	FALSE	Princeton1-PL_16-ED3049	52238303	48264208	1712265	6.902
ED3052	ED3052	FALSE	BGI1-RET5-ED3052	16802083	16667981	590455	6.236
ED3052	ED3052	FALSE	BGI2-RET5-ED3052	14764214	14645623	476580	6.736
ED3052	ED3052	FALSE	BGI3-RET5b-ED3052	36441790	36149640	1949886	5.864
ED3052	ED3052	FALSE	MMP-ML_2-ED3052	4130554	4076287	32298	5.111
ED3052	ED3052	FALSE	MMP-ML_3-ED3052	6637559	6563636	62344	5.124
ED3052	ED3052	FALSE	MMP-ML_5-ED3052	3372414	3334752	18843	5.571
ED3052	ED3052	FALSE	MMP-ML_6-ED3052	4346660	4293125	23943	5.124
ED3052	ED3052	FALSE	MMP-ML_7-ED3052	8172688	8068571	55111	5.178
ED3073	ED3057	FALSE	MMP-ML_2-ED3057	3226346	3175006	21448	4.744
ED3073	ED3057	FALSE	MMP-ML_3-ED3057	5558481	5484732	42854	5.134
ED3073	ED3057	FALSE	MMP-ML_5-ED3057	2968230	2928766	15239	5.85
ED3073	ED3057	FALSE	MMP-ML_6-ED3057	5583802	5499282	30272	5.179
ED3073	ED3057	FALSE	MMP-ML_7-ED3057	9986082	9832953	62031	4.973
ED3073	ED3072	FALSE	MMP-ML_2-ED3072	5918273	5843347	47675	5.267
ED3073	ED3072	FALSE	MMP-ML_3-ED3072	9324892	9231151	85470	5.399
ED3073	ED3072	FALSE	MMP-ML_5-ED3072	4658326	4611723	28040	5.955
ED3073	ED3072	FALSE	MMP-ML_6-ED3072	3505352	3464661	19476	5.42
ED3073	ED3072	FALSE	MMP-ML_7-ED3072	6500442	6423341	39875	5.302
ED3073	ED3073	FALSE	BGI1-RET4-ED3073	15543667	15437621	283035	12.014
ED3073	ED3073	FALSE	BGI2-RET4-ED3073	14190835	14093181	285982	12.341
ED3073	ED3073	FALSE	BGI3-RET4a-ED3073	41712462	41422063	1981555	12.007
ED3073	ED3073	FALSE	Princeton1-PL_17-ED3073	29955170	29741725	5830191	7.138
ED3077	ED3077	FALSE	BGI1-RET7-ED3077	18612488	18481163	536041	8.949
ED3077	ED3077	FALSE	BGI2-RET7-ED3077	16915874	16795591	465828	9.864
ED3077	ED3077	FALSE	BGI3-RET7a-ED3077	29881726	29666990	1165397	10.112
ED3077	ED3077	FALSE	Princeton1-PL_23-ED3077	42779174	42394405	1318192	8.105
EG4347	EG4347	FALSE	BGI1-RET3-EG4347	14250130	14194356	350992	23.527
EG4347	EG4347	FALSE	BGI2-RET3-EG4347	15930044	15866956	442990	24.665
EG4347	EG4347	FALSE	BGI3-RET3a-EG4347	25483339	25384650	1032487	19.757
EG4347	EG4347	FALSE	Rockman-R096.4-EG4347	9294563	9220881	56520	5.819
EG4349	EG4348	FALSE	Rockman-R096.2-EG4348	8145284	8034581	116294	5.88
EG4349	EG4349	FALSE	BGI2-RET6-EG4349	12648632	12521336	378240	7.92
EG4349	EG4349	FALSE	BGI3-RET6a-EG4349	33809857	33465326	1720367	7.004
EG4724	EG4724	FALSE	BGI1-RET5-EG4724	12541066	12423689	374576	27.431
EG4724	EG4724	FALSE	BGI2-RET5-EG4724	10265916	10169264	274042	25.776
EG4724	EG4724	FALSE	BGI3-RET5a-EG4724	25505516	25269262	1228857	27.305
EG4724	EG4724	FALSE	Princeton1-PL_17-EG4724	26906245	26605728	7526116	8.198
EG4724	EG4724	FALSE	Princeton1-PL_20-EG4724	1490091	1474115	12371	12.309
EG4724	EG4724	FALSE	Princeton1-PL_24-EG4724	36119486	35719731	5815041	14.564
EG4725	EG4725	FALSE	BGI1-RET2-EG4725	5793667	5726535	125085	27.837
EG4725	EG4725	FALSE	BGI2-RET2-EG4725	5595486	5530073	116304	26.721
EG4725	EG4725	FALSE	BGI3-RET2a-EG4725	9533373	9419282	322012	29.749
EG4725	EG4725	FALSE	Princeton1-PL_20-EG4725	5799289	5714702	467373	6.856
EG4725	EG4725	FALSE	UChicago-EA1-EG4725	12004034	11881666	315691	10.289
EG4725	EG4725	FALSE	UChicago2-L007-EG4725	11000637	10862946	233307	14.395
EG4946	EG4946	FALSE	BGI1-RET7-EG4946	12703695	12154639	344523	16.195
EG4946	EG4946	FALSE	BGI2-RET7-EG4946	11429071	10915138	294539	17.907
EG4946	EG4946	FALSE	BGI3-RET7a-EG4946	20861684	19966971	819786	18.993
EG4946	EG4946	FALSE	Princeton1-PL_10-EG4946	19534891	19357852	340889	7.617
EG4946	EG4946	FALSE	Princeton1-PL_11-EG4946	43823160	43423464	1281434	8.655
GXW1	GXW1	FALSE	BGI1-RET6-GXW1	4857723	4823343	40131	8.188
GXW1	GXW1	FALSE	BGI2-RET6-GXW1	14305787	14198370	287401	8.821
GXW1	GXW1	FALSE	BGI3-RET6b-GXW1	27159258	26958451	868110	8.81
GXW1	GXW1	FALSE	MMP-ML_2-GXW1	5184780	5115863	41918	5.034
GXW1	GXW1	FALSE	MMP-ML_3-GXW1	8969944	8871585	86406	5.123
GXW1	GXW1	FALSE	MMP-ML_5-GXW1	4028520	3984848	23430	5.833
GXW1	GXW1	FALSE	MMP-ML_6-GXW1	3991218	3942120	22246	5.197
GXW1	GXW1	FALSE	MMP-ML_7-GXW1	7615104	7518698	48118	4.922
GXW1	GXW1	FALSE	Princeton1-PL_3-GXW1	18812407	18433059	133568	6.475
GXW1	GXW1	FALSE	Princeton1-PL_4-GXW1	5514032	5446186	17372	5.682
JT11398	JT11398	FALSE	BGI1-RET2-JT11398	11347488	11297687	377903	43.906
JT11398	JT11398	FALSE	BGI2-RET2-JT11398	11375359	11325424	376381	40.896
JT11398	JT11398	FALSE	BGI3-RET2a-JT11398	8721085	8680047	311321	45.666
JT11398	JT11398	FALSE	UChicago-EA2-JT11398	16450635	16369503	468366	37.583
JT11398	JT11398	FALSE	UChicago2-L008-JT11398	20113068	20012485	535736	32.53
JU1088	JU1088	FALSE	BGI1-RET3-JU1088	15302333	15132556	429661	19.196
JU1088	JU1088	FALSE	BGI2-RET3-JU1088	18025955	17823639	579961	21.043
JU1088	JU1088	FALSE	BGI3-RET3b-JU1088	27302101	26997099	1191943	17.971
JU1088	JU1088	FALSE	MMP-ML_2-JU1088	4166560	4095322	31670	5.489
JU1088	JU1088	FALSE	MMP-ML_3-JU1088	6447462	6356729	55786	5.508
JU1088	JU1088	FALSE	MMP-ML_5-JU1088	3475230	3425905	21527	6.068
JU1088	JU1088	FALSE	MMP-ML_6-JU1088	5168816	5085685	33408	5.562
JU1088	JU1088	FALSE	MMP-ML_7-JU1088	9404152	9251943	72178	5.32
JU1088	JU1088	FALSE	Rockman-R096.4-JU1088	7943623	7835783	50100	6.113
JU1172	JU1172	FALSE	BGI1-RET4-JU1172	13667909	13564894	294142	20.068
JU1172	JU1172	FALSE	BGI2-RET4-JU1172	11922260	11831611	271740	20.83
JU1172	JU1172	FALSE	BGI3-RET4b-JU1172	26794367	26587900	1109322	22.215
JU1200	JU1200	FALSE	BGI1-RET2-JU1200	14446536	14419915	522822	16.478
JU1200	JU1200	FALSE	BGI2-RET2-JU1200	14123968	14097989	495502	15.626
JU1200	JU1200	FALSE	BGI3-RET2a-JU1200	26179410	26129315	1467318	17.426
JU1200	JU1200	FALSE	Princeton1-PL_17-JU1200	30547335	30465590	4175492	6.302
JU1200	JU1200	FALSE	Princeton1-PL_21-JU1200	20877928	20819769	482380	5.803
JU1200	JU1200	FALSE	Princeton1-PL_24-JU1200	48669055	48527622	2172625	6.926
JU1212	JU1212	FALSE	BGI1-RET6-JU1212	4523110	4493411	43983	11.163
JU1212	JU1212	FALSE	BGI2-RET6-JU1212	11961248	11879454	239036	13.182
JU1212	JU1212	FALSE	BGI3-RET6a-JU1212	32223241	32004732	1282347	12.13
JU1213	JU1213	FALSE	BGI1-RET5-JU1213	11244501	11148232	301848	12.256
JU1213	JU1213	FALSE	BGI2-RET5-JU1213	10061320	9975101	253766	13.134
JU1213	JU1213	FALSE	BGI3-RET5a-JU1213	20243183	20070911	821783	12.638
JU1213	JU533	FALSE	MMP-ML_2-JU533	4121100	4048536	38255	4.577
JU1213	JU533	FALSE	MMP-ML_3-JU533	6955962	6855604	78478	4.889
JU1213	JU533	FALSE	MMP-ML_5-JU533	3199236	3153850	19973	4.952
JU1213	JU533	FALSE	MMP-ML_6-JU533	4441856	4369032	28986	4.694
JU1213	JU533	FALSE	MMP-ML_7-JU533	8331542	8194587	65023	4.735
JU1242	JU1242	FALSE	BGI1-RET4-JU1242	19291082	19149976	766822	8.729
JU1242	JU1242	FALSE	BGI2-RET4-JU1242	17741623	17610498	722435	8.993
JU1242	JU1242	FALSE	BGI3-RET4b-JU1242	34064190	33812008	2317792	9.477
JU1246	JU1246	FALSE	BGI1-RET3-JU1246	17644458	17515900	512138	10.082
JU1246	JU1246	FALSE	BGI2-RET3-JU1246	17885133	17753984	530741	10.628
JU1246	JU1246	FALSE	BGI3-RET3b-JU1246	28275097	28068845	1189127	9.73
JU1395	JU1395	FALSE	BGI2-RET6-JU1395	7229644	7196984	187701	12.255
JU1395	JU1395	FALSE	BGI3-RET6a-JU1395	17589336	17509179	731870	10.401
JU1400	JU1400	FALSE	BGI1-RET4-JU1400	18217278	17118546	445264	6.126
JU1400	JU1400	FALSE	BGI2-RET4-JU1400	16895335	15875737	436471	6.162
JU1400	JU1400	FALSE	BGI3-RET4a-JU1400	44300867	41439115	2344167	6.297
JU1400	JU1400	FALSE	MMP-ML_2-JU1400	4424936	4339008	36453	4.41
JU1400	JU1400	FALSE	MMP-ML_3-JU1400	7059718	6942474	66958	4.493
JU1400	JU1400	FALSE	MMP-ML_5-JU1400	3519934	3462826	22434	4.972
JU1400	JU1400	FALSE	MMP-ML_6-JU1400	4723724	4637334	31500	4.822
JU1400	JU1400	FALSE	MMP-ML_7-JU1400	8819620	8656143	69585	4.506
JU1400	JU1400	FALSE	Princeton1-PL_9-JU1400	21429820	20968190	1260986	5.391
JU1409	JU1401	FALSE	MMP-ML_2-JU1401	4784521	4714040	34981	5.226
JU1409	JU1401	FALSE	MMP-ML_3-JU1401	7302282	7216693	59341	5.695
JU1409	JU1401	FALSE	MMP-ML_5-JU1401	3769272	3725935	21947	6.317
JU1409	JU1401	FALSE	MMP-ML_6-JU1401	4166148	4109395	23939	5.518
JU1409	JU1401	FALSE	MMP-ML_7-JU1401	7763688	7657417	50177	5.402
JU1409	JU1409	FALSE	BGI1-RET5-JU1409	17096248	17005256	429043	13.696
JU1409	JU1409	FALSE	BGI2-RET5-JU1409	14549324	14472003	330055	15.327
