Isotype	Strain	Filtered From Analysis	ReadGroup	Total Reads	Mapped Reads	Duplicate Reads	Length Estimate
AB1	AB1	FALSE	BGI1-RET2-AB1	22604394	22468562	1109699	12.844
AB1	AB1	FALSE	BGI2-RET2-AB1	21823618	21691567	1038365	11.538
AB1	AB1	FALSE	BGI3-RET2b-AB1	39699940	39453587	3075825	13.051
AB1	AB1	FALSE	MMP-ML_2-AB1	4356586	4287889	32865	5.021
AB1	AB1	FALSE	MMP-ML_3-AB1	6847990	6762302	57848	5.314
AB1	AB1	FALSE	MMP-ML_5-AB1	3724306	3680232	23171	5.44
AB1	AB1	FALSE	MMP-ML_6-AB1	4482548	4417820	27209	5.268
AB1	AB1	FALSE	MMP-ML_7-AB1	8100938	7985141	56333	5.004
AB1	AB1	FALSE	Rockman-R096.2-AB1	11265679	11085424	286569	8.97
BRC20067	BRC20067	FALSE	UChicago-EA2-BRC20067	15442595	14242067	397723	9.452
BRC20067	BRC20067	FALSE	UChicago2-L008-BRC20067	20991251	19502534	548450	6.945
CB4851	ECA243	FALSE	BGI1-RET3-ECA243	19990139	19640394	637650	18.831
CB4851	ECA243	FALSE	BGI2-RET3-ECA243	22354383	21948655	796782	20.845
CB4851	ECA243	FALSE	BGI3-RET3b-ECA243	34197210	33593876	1672084	18.06
CB4851	ECA243	FALSE	Princeton1-PL_22-ECA243	13272447	13217574	913435	9.422
CB4851	ECA243	FALSE	Princeton1-PL_23-ECA243	40915029	40692976	1361227	7.329
CB4852	CB4852	FALSE	BGI1-RET1-CB4852	24092345	23973351	1621575	15.511
CB4852	CB4852	FALSE	BGI1-RET4-CB4852	54165626	53924571	3213581	8.928
CB4852	CB4852	FALSE	BGI2-RET1-CB4852	23881767	23762753	1622222	16.278
CB4852	CB4852	FALSE	BGI2-RET4-CB4852	51431154	51200708	3066431	8.937
CB4852	CB4852	FALSE	BGI3-RET1b-CB4852	41770045	41571660	3497539	13.982
CB4852	CB4852	FALSE	Princeton1-PL_10-CB4852	31130971	30985025	1172007	7.525
CB4852	CB4852	FALSE	Princeton1-PL_11-CB4852	66981967	66678739	4032939	8.081
CB4852	CB4852	FALSE	Rockman-R096.2-CB4852	11483040	11387231	302515	10.136
CB4853	ECA245	FALSE	BGI2-RET6-ECA245	13782113	13671314	365235	10.089
CB4853	ECA245	FALSE	BGI3-RET6a-ECA245	36569878	36274812	1707661	9.034
CB4853	ECA246	FALSE	BGI1-RET3-ECA246	11717851	11618596	294857	11.599
CB4853	ECA246	FALSE	BGI2-RET3-ECA246	14189144	14070087	426872	13.118
CB4853	ECA246	FALSE	BGI3-RET3a-ECA246	28354212	28112543	1571175	10.629
CB4853	ECA246	FALSE	MMP-ML_2-ECA246	3948560	3875670	33581	5.785
CB4853	ECA246	FALSE	MMP-ML_3-ECA246	6947358	6836278	73770	5.935
CB4853	ECA246	FALSE	MMP-ML_5-ECA246	3528042	3470351	22022	6.183
CB4853	ECA246	FALSE	MMP-ML_6-ECA246	4588336	4505657	27992	6.013
CB4853	ECA246	FALSE	MMP-ML_7-ECA246	8304150	8152685	60550	5.673
CB4853	ECA246	FALSE	Princeton1-PL_13-ECA246	17047954	16816377	312425	7.204
CB4853	ECA246	FALSE	Princeton1-PL_14-ECA246	37479935	36958301	1055921	6.908
CB4854	CB4854	FALSE	BGI1-RET7-CB4854	14993302	14915948	410752	11.645
CB4854	CB4854	FALSE	BGI2-RET7-CB4854	11862351	11801076	289573	11.315
CB4854	CB4854	FALSE	BGI3-RET7a-CB4854	23041368	22921170	877312	12.446
CB4854	CB4854	FALSE	MMP-ML_2-CB4854	3144900	3108738	20283	4.662
CB4854	CB4854	FALSE	MMP-ML_3-CB4854	4738813	4695768	35057	5.032
CB4854	CB4854	FALSE	MMP-ML_5-CB4854	2393222	2371943	10902	5.169
CB4854	CB4854	FALSE	MMP-ML_6-CB4854	5459238	5402748	29731	5.389
CB4854	CB4854	FALSE	MMP-ML_7-CB4854	10175454	10066863	66632	4.827
CB4855	ECA248	FALSE	BGI1-RET4-ECA248	12505250	12401155	386455	45.465
CB4855	ECA248	FALSE	BGI2-RET4-ECA248	11530746	11434054	376348	49.089
CB4855	ECA248	FALSE	BGI3-RET4b-ECA248	18807654	18647094	947445	51.391
CB4855	ECA248	FALSE	Princeton1-PL_3-ECA248	20197264	17492355	183262	26.706
CB4855	ECA248	FALSE	Princeton1-PL_4-ECA248	6418605	5669940	26534	20.766
CB4856	CB4856	FALSE	BGI1-RET1-CB4856	13269759	13075610	552035	21.932
CB4856	CB4856	FALSE	BGI2-RET1-CB4856	11283435	11116090	434894	22.418
CB4856	CB4856	FALSE	BGI3-RET1a-CB4856	42166465	41563219	2906713	17.549
CB4856	CB4856	TRUE	MMP-ML_1-CB4856	0	0	0	NA
CB4856	CB4856	FALSE	Princeton2-P-CB4856	37455456	36870931	2188534	18.665
CB4856	CB4856	FALSE	Rockman-R999.1-CB4856	44500048	38263781	947029	3.109
CB4856	CB4856	FALSE	UChicago-EA1-CB4856	13232243	12988509	375538	10.225
CB4856	CB4856	FALSE	UChicago2-L007-CB4856	10204312	9978836	220081	12.524
CB4857	ECA249	FALSE	BGI3-RET1b-ECA249	30705628	30448007	2412275	23.73
CB4857	ECA249	FALSE	UChicago-EA1-ECA249	15641260	15529986	466829	7.335
CB4857	ECA249	FALSE	UChicago2-L007-ECA249	15452224	15321572	377611	8.712
CB4857	ECA250	FALSE	BGI1-RET6-ECA250	4604595	4568028	54459	17.049
CB4857	ECA250	FALSE	BGI2-RET6-ECA250	12528090	12421510	319760	21.242
CB4857	ECA250	FALSE	BGI3-RET6b-ECA250	28489301	28251187	1220069	20.283
CB4858	AB2	FALSE	Rockman-R999.1-AB2	40418009	38054828	713947	7.957
CB4858	AB3	FALSE	MMP-ML_2-AB3	5014634	4925021	44613	14.789
CB4858	AB3	FALSE	MMP-ML_3-AB3	8195684	8070813	87470	15.943
CB4858	AB3	FALSE	MMP-ML_5-AB3	3944394	3883283	25095	19.308
CB4858	AB3	FALSE	MMP-ML_6-AB3	3606176	3545216	21346	16.375
CB4858	AB3	FALSE	MMP-ML_7-AB3	6774606	6658240	47093	15.91
CB4858	AB4	FALSE	BGI1-RET2-AB4	19438384	19280105	992272	52.692
CB4858	AB4	FALSE	BGI2-RET2-AB4	18859482	18705522	914588	48.293
CB4858	AB4	FALSE	BGI3-RET2a-AB4	31737946	31470743	2228171	56.683
CB4858	AB4	FALSE	Princeton1-PL_10-AB4	22871156	22665175	547497	17.369
CB4858	AB4	FALSE	Princeton1-PL_11-AB4	50707913	50263640	1952805	21.087
CB4858	AB4	FALSE	Princeton1-PL_12-AB4	15051861	14768051	175604	13.354
CB4858	ECA251	FALSE	BGI1-RET4-ECA251	14044703	13929007	318099	40.632
CB4858	ECA251	FALSE	BGI2-RET4-ECA251	12978156	12869147	310607	37.384
CB4858	ECA251	FALSE	BGI3-RET4b-ECA251	20799914	20626287	797114	45.383
CB4932	CB4932	FALSE	BGI1-RET7-CB4932	17295302	17216212	556848	12.548
CB4932	CB4932	FALSE	BGI2-RET7-CB4932	15800090	15727619	495212	13.858
CB4932	CB4932	FALSE	BGI3-RET7b-CB4932	26279907	26159939	1163874	14.526
CB4932	CB4932	FALSE	Princeton1-PL_13-CB4932	17021442	16923428	341316	7.284
CB4932	CB4932	FALSE	Princeton1-PL_14-CB4932	38522539	38296568	1221593	7.278
CX11254	CX11254	FALSE	BGI1-RET3-CX11254	15513816	15272191	362377	18.581
CX11254	CX11254	FALSE	BGI2-RET3-CX11254	18519446	18224782	504485	20.879
CX11254	CX11254	FALSE	BGI3-RET3b-CX11254	26654352	26235862	968789	17.851
CX11262	CX11262	FALSE	BGI2-RET6-CX11262	13407387	13247452	367098	16.328
CX11262	CX11262	FALSE	BGI3-RET6a-CX11262	36154463	35722080	1734972	13.633
CX11264	CX11264	FALSE	BGI1-RET5-CX11264	18923058	18710914	825965	51.87
CX11264	CX11264	FALSE	BGI2-RET5-CX11264	15866416	15688592	654125	58.416
CX11264	CX11264	FALSE	BGI3-RET5a-CX11264	35773967	35371761	2297555	50.271
CX11264	CX11264	FALSE	Princeton1-PL_15-CX11264	13772918	13597525	1045703	22.51
CX11264	CX11264	FALSE	Princeton1-PL_16-CX11264	59636265	58921674	10135293	23.127
CX11271	CX11271	FALSE	BGI1-RET7-CX11271	14390059	14317749	324497	21.54
CX11271	CX11271	FALSE	BGI2-RET7-CX11271	12927305	12861964	280435	24.195
CX11271	CX11271	FALSE	BGI3-RET7a-CX11271	22131145	22018812	650638	25.869
CX11271	CX11271	FALSE	Princeton1-PL_21-CX11271	34103602	33824168	12525153	15.21
CX11276	CX11276	FALSE	BGI1-RET2-CX11276	16992423	16799740	766151	15.794
CX11276	CX11276	FALSE	BGI2-RET2-CX11276	16161779	15978258	698836	14.531
CX11276	CX11276	FALSE	BGI3-RET2b-CX11276	26702811	26380168	1776202	16.806
CX11285	CX11285	FALSE	BGI1-RET2-CX11285	19440924	19226867	509302	9.673
CX11285	CX11285	FALSE	BGI2-RET2-CX11285	18392335	18188598	462086	8.927
CX11285	CX11285	FALSE	BGI3-RET2a-CX11285	70842360	70022231	5526758	10.024
CX11285	CX11285	FALSE	Princeton1-PL_10-CX11285	19123033	18893031	428893	7.033
CX11285	CX11285	FALSE	Princeton1-PL_11-CX11285	47381033	46830122	1843955	8.031
CX11292	CX11292	FALSE	BGI1-RET4-CX11292	14235102	14126820	312609	40.131
CX11292	CX11292	FALSE	BGI2-RET4-CX11292	13489020	13385598	329826	43.633
CX11292	CX11292	FALSE	BGI3-RET4b-CX11292	24317292	24129166	987244	45.942
CX11292	CX11292	FALSE	Princeton1-PL_13-CX11292	14681720	14600467	1059329	18.326
CX11292	CX11292	FALSE	Princeton1-PL_14-CX11292	34038567	33857448	3960368	21.077
CX11307	CX11307	FALSE	BGI1-RET5-CX11307	22921670	22699690	813709	8.963
CX11307	CX11307	FALSE	BGI2-RET5-CX11307	20367090	20169002	677378	9.802
CX11307	CX11307	FALSE	BGI3-RET5a-CX11307	41422296	41020113	2271090	8.75
CX11314	CX11314	FALSE	BGI1-RET3-CX11314	17431282	17257396	456536	30.384
CX11314	CX11314	FALSE	BGI2-RET3-CX11314	20079872	19878360	602748	33.788
CX11314	CX11314	FALSE	BGI3-RET3b-CX11314	32081215	31759107	1349536	29.254
CX11315	CX11315	FALSE	BGI1-RET1-CX11315	17911873	17697799	1149863	71.559
CX11315	CX11315	FALSE	BGI2-RET1-CX11315	15513339	15327356	935626	76.187
CX11315	CX11315	FALSE	BGI3-RET1b-CX11315	27917052	27590622	2039674	60.65
DL200	DL200	FALSE	BGI1-RET4-DL200	8084916	8029382	92076	8.672
DL200	DL200	FALSE	BGI2-RET4-DL200	7664662	7611788	109119	8.876
DL200	DL200	FALSE	BGI3-RET4a-DL200	27507842	27313900	1061455	8.847
DL226	DL226	FALSE	BGI1-RET2-DL226	31290890	30991826	1653279	9.876
DL226	DL226	FALSE	BGI2-RET2-DL226	29274712	28992644	1473348	8.828
DL226	DL226	FALSE	BGI3-RET2b-DL226	35499402	35149668	2312185	10.272
DL238	DL238	FALSE	BGI1-RET1-DL238	12774826	12537306	455770	75.067
DL238	DL238	FALSE	BGI2-RET1-DL238	13143736	12900522	498290	78.882
DL238	DL238	FALSE	BGI3-RET1a-DL238	37725662	37066848	2171863	56.264
DL238	DL238	FALSE	Princeton1-PL_12-DL238	15545948	15133367	253416	8.764
DL238	DL238	FALSE	Princeton1-PL_21-DL238	28166264	27720363	12438412	10.357
DL238	DL238	FALSE	Princeton2-P-DL238	48488560	47563085	2883644	58.682
ECA252	ECA252	FALSE	BGI1-RET3-ECA252	16309256	16256717	491099	21.016
ECA252	ECA252	FALSE	BGI2-RET3-ECA252	19004437	18941630	643629	22.252
ECA252	ECA252	FALSE	BGI3-RET3b-ECA252	29595680	29500880	1396668	19.706
ECA36	ECA36	FALSE	UChicago-EA1-ECA36	15760894	15476881	537709	27.526
ECA36	ECA36	FALSE	UChicago2-L007-ECA36	15331447	14995858	455671	34.62
ED3005	ED3005	FALSE	BGI1-RET5-ED3005	20529714	20326743	669342	9.104
ED3005	ED3005	FALSE	BGI2-RET5-ED3005	18532145	18348954	569295	9.948
ED3005	ED3005	FALSE	BGI3-RET5a-ED3005	39606727	39211848	2102132	8.827
ED3005	ED3021	FALSE	MMP-ML_2-ED3021	3905920	3839347	26363	5.969
ED3005	ED3021	FALSE	MMP-ML_3-ED3021	6818444	6719753	55475	6.164
ED3005	ED3021	FALSE	MMP-ML_5-ED3021	3781446	3727205	22376	6.952
ED3005	ED3021	FALSE	MMP-ML_6-ED3021	4739136	4663710	26591	6.343
ED3005	ED3021	FALSE	MMP-ML_7-ED3021	8385428	8248929	53705	6.294
ED3011	ED3011	FALSE	BGI1-RET3-ED3011	14502009	14330935	408353	51.452
ED3011	ED3011	FALSE	BGI2-RET3-ED3011	16807486	16606395	548468	58.897
ED3011	ED3011	FALSE	BGI3-RET3a-ED3011	27219186	26901546	1236302	44.066
ED3012	ED3012	FALSE	BGI1-RET6-ED3012	2755425	2744916	35737	26.079
ED3012	ED3012	FALSE	BGI2-RET6-ED3012	9918129	9878769	332023	35.045
ED3012	ED3012	FALSE	BGI3-RET6a-ED3012	24677847	24578352	1195894	29.726
ED3012	ED3012	FALSE	Princeton1-PL_17-ED3012	36321357	36161987	12283112	12.551
