Trait	AB1	BRC20067	CB4851	CB4852	CB4853	CB4854	CB4855	CB4856	CB4857	CB4858	CB4932	CX11254	CX11262	CX11264	CX11271	CX11276	CX11285	CX11292	CX11307	CX11314	CX11315	DL200	DL226	DL238	ECA252	ECA36	ED3005	ED3011	ED3012	ED3017	ED3040	ED3046	ED3048	ED3049	ED3052	ED3073	ED3077	EG4347	EG4349	EG4724	EG4725	EG4946	GXW1	JT11398	JU1088	JU1172	JU1200	JU1212	JU1213	JU1242	JU1246	JU1395	JU1400	JU1409	JU1440	JU1491	JU1530	JU1568	JU1580	JU1581	JU1586	JU1652	JU1896	JU2001	JU2007	JU2316	JU2464	JU2466	JU2513	JU2519	JU2522	JU2526	JU258	JU310	JU311	JU323	JU346	JU360	JU367	JU393	JU394	JU397	JU406	JU440	JU561	JU642	JU751	JU774	JU775	JU778	JU782	JU792	JU830	JU847	KR314	LKC34	LSJ1	MY10	MY16	MY18	MY1	MY23	N2	NIC166	NIC195	NIC199	NIC1	NIC207	NIC231	NIC236	NIC242	NIC251	NIC252	NIC255	NIC256	NIC258	NIC259	NIC260	NIC261	NIC262	NIC265	NIC266	NIC267	NIC268	NIC269	NIC271	NIC272	NIC274	NIC275	NIC276	NIC277	NIC2	NIC3	PB303	PB306	PS2025	PX179	QG2075	QG536	QG556	QG557	QW947	QX1211	QX1212	QX1233	QX1791	QX1792	QX1793	QX1794	RC301	WN2001	WN2002
HELITRONY2(ins)	0	0	1	0	0	0	0	NA	0	0	1	0	0	1	0	0	2	0	0	0	NA	NA	1	2	NA	NA	0	0	0	1	0	0	0	0	1	0	1	0	1	0	0	1	0	0	0	0	0	NA	1	1	1	NA	1	0	NA	NA	1	0	1	1	1	0	0	1	0	NA	0	0	0	NA	0	NA	2	1	0	0	0	0	0	1	2	1	NA	1	0	0	0	NA	1	1	2	1	0	1	0	0	0	0	1	0	2	2	0	NA	2	0	0	0	1	NA	1	NA	NA	NA	0	NA	1	0	1	0	NA	1	0	0	1	1	0	0	NA	0	0	0	1	0	1	2	0	NA	0	0	1	1	7	0	0	1	1	0	1	0	0	1
HELITRONY3(ins)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	NA	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	NA	0	NA	0	0	0	NA	0	0	1	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	NA	0	0	NA	NA	NA	0	0	0	NA	NA	0	0	NA	0	0	0	0	0	1	1	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0
HELITRONY4(ins)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
IR1(ins)	1	2	0	3	0	0	1	2	0	2	0	0	0	2	2	0	0	3	1	0	0	1	0	0	0	1	0	0	1	2	3	2	1	1	0	1	2	1	0	2	0	2	1	0	0	0	1	0	0	0	0	0	3	3	2	1	2	0	1	1	2	0	1	1	2	2	1	2	2	0	0	1	2	2	1	1	1	1	1	0	1	0	0	0	0	2	0	0	0	0	2	0	0	1	1	1	0	3	2	1	5	1	1	0	0	0	2	0	0	0	1	2	0	0	1	0	1	1	1	1	0	1	0	1	1	1	0	0	0	0	0	1	2	2	0	1	3	0	1	0	0	1	4	2	0	1	0	1	1	3	0	0
LINE2A(ins)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	1	0	1	0	0	NA	0	0	0	0	0	1	0	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
LINE2C(ins)	NA	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	1	0	NA	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	NA	NA	0	0	0	0	0	0	1	NA	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	NA	0	0	0	0	NA	0	1	1	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	1	1	0	NA	0	0	0	0	0	0	NA	0	0	0	0	0	0	1	0	0	NA	0	0	0	0	NA	NA	0	0	1	0	0	0	2	0	0	0	NA	0	0	1	1	0
LINE2C1(ins)	0	NA	0	0	1	0	1	NA	1	1	0	0	0	0	1	NA	0	1	1	0	0	0	1	NA	0	2	1	0	0	0	1	1	1	1	1	0	1	0	0	0	0	0	0	0	1	0	0	NA	0	0	0	NA	0	0	0	0	0	0	0	NA	0	0	0	0	1	0	1	0	1	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	0	1	0	1	0	NA	1	1	0	NA	NA	0	0	0	1	1	0	1	NA	0	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	0	1	0	1	1	2	1	0	1	0	0	1	0	NA	NA
LINE2D(ins)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	1	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	NA	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	NA	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	NA	0	0	1	0	0	0	0	1	0	0	NA	NA	0	0	0	0	NA	NA	1	0	1
LINE2E(ins)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
LINE2F(ins)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
LINE2G(ins)	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	NA	0	0	3	0	1	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	0	NA	0	0	0	1	0	0	1	1	0	0	0	0	0	NA	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	0	NA	0	0	0	0	0	0	NA	0	0	0	0	0	0	2	0	0	0	0	NA	0	0	0	NA	0	0	0	1	1	0	0	NA	0	0	0	0	NA	0	0	0	0	0	0	0	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	1	1	0	0	0	0	0
LONGPAL1(ins)	0	0	0	0	0	1	2	3	1	0	1	1	1	3	1	1	3	0	1	1	0	1	1	3	0	NA	0	2	0	1	1	2	0	1	1	0	0	0	3	2	2	0	1	2	0	0	0	0	1	1	0	0	1	2	1	3	1	1	0	0	0	1	1	0	0	2	2	0	0	1	3	2	1	1	2	1	0	1	1	0	1	1	0	0	0	1	1	1	2	1	2	NA	0	NA	0	2	0	1	2	3	0	2	0	NA	2	2	1	0	0	1	2	2	1	0	2	2	2	1	2	NA	3	1	1	5	2	NA	1	1	1	0	1	0	1	0	1	3	0	1	0	2	1	2	4	0	2	2	4	1	4	1	4	1
LONGPAL2(ins)	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	NA	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	1	0	0
LTR1(ins)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	0	0	0	NA	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	NA	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	NA	1	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	1	0	0	0	0	0	0	NA	0
LTRCER1(ins)	0	0	0	0	1	0	1	0	1	2	3	3	5	3	6	1	4	2	5	3	1	1	1	1	0	3	4	2	0	2	3	1	0	1	0	0	1	2	4	0	3	1	0	2	0	2	0	0	2	6	3	1	2	4	2	4	0	2	3	3	1	1	0	6	0	4	0	0	4	5	4	4	1	0	2	0	3	0	0	4	0	4	1	2	0	0	3	2	5	4	4	6	1	1	2	3	0	2	3	4	0	2	0	0	2	3	4	5	0	5	4	1	0	0	5	3	3	6	4	3	0	0	0	0	5	4	3	3	6	2	1	0	1	0	2	2	4	4	4	4	1	0	0	2	2	1	2	4	3	0	3	3
MARINCE1(ins)	1	1	4	2	1	3	2	6	1	1	0	1	1	1	1	2	3	1	1	1	1	1	2	4	0	14	1	1	4	1	1	2	1	2	1	1	2	1	1	2	2	1	1	2	2	1	1	3	3	2	2	2	1	1	1	2	1	0	2	4	0	4	7	1	1	2	2	1	3	2	1	3	3	1	1	1	1	1	1	1	4	1	0	1	3	2	2	1	2	3	3	2	2	3	3	2	0	1	4	1	1	5	0	3	5	0	1	2	1	2	2	1	1	2	3	2	2	1	3	1	3	3	1	3	2	3	3	1	1	1	2	1	3	1	2	3	1	2	1	3	3	2	10	2	1	5	2	3	3	1	1	3
MARINER2(ins)	12	4	10	7	3	6	3	26	5	5	16	9	10	11	8	5	18	6	9	5	6	6	16	22	2	22	16	8	11	8	11	11	5	10	8	9	9	4	14	16	14	6	6	9	8	3	5	7	9	11	6	1	13	7	6	12	4	4	15	15	6	21	20	24	9	6	7	1	8	6	9	12	18	3	16	7	13	13	4	5	12	8	3	7	10	12	11	12	22	9	17	4	8	2	11	11	0	5	21	19	9	28	0	7	21	19	7	8	7	10	5	13	6	8	13	12	7	9	14	6	9	8	5	11	11	10	13	2	7	1	6	4	13	6	10	22	6	6	7	17	11	8	48	16	7	17	21	24	22	7	18	6
MARINER3(ins)	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	2	0	1	1	0	0	0	0	0	0	0	0	0	0	1	NA	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	1	0	1	1	0	0	0	1	0	1	0	0	0	0	0	1	0	1	2	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	NA	0	0	0	0	0	2	1	0	1	1	0	0	0	0	0	0	0	0	0	0	1	3	1	0	0	0	0	0	1	0	0
MARINER4(ins)	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	1	0	1	0	0	NA	0	NA	0	0	NA	0	0	NA	0	NA	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	NA	0	0	NA	0	0	NA	0	NA	0	0	1	0	0	0	0	0	0	0	0	0	0	0	NA	1	0	0	NA	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	NA	NA	0	0	1	0	0	NA	0	0	0	NA	0	NA	0	NA	NA	NA	0	0	0	NA	0	NA	0	0	0	NA	0	0	2	0	0	2	NA	2	NA	NA	0	0
MARINER5(ins)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MAR(ins)	2	NA	1	3	1	0	0	1	0	2	3	0	0	2	0	0	4	2	0	0	0	NA	0	3	0	0	0	1	1	2	3	4	0	3	1	0	0	1	0	1	0	3	2	1	0	0	2	NA	1	0	1	0	2	0	0	1	2	0	2	1	1	0	1	1	1	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	1	0	0	2	0	1	0	1	0	0	3	0	0	NA	2	1	3	0	2	1	3	0	0	NA	1	0	1	0	1	0	NA	NA	NA	NA	1	NA	NA	1	0	NA	1	NA	0	0	0	NA	0	0	NA	0	NA	1	2	0	1	0	2	0	2	0	0	0	7	4	1	2	2	2	1	4	0	0
MIRAGE1(ins)	2	5	0	2	5	2	5	5	2	3	4	1	3	1	2	1	3	4	1	3	1	7	5	7	0	2	3	2	0	5	4	5	2	5	3	2	5	1	5	7	8	3	3	2	5	2	0	3	7	7	4	3	7	1	2	4	2	1	5	10	1	7	1	6	1	4	5	2	4	6	3	10	9	2	6	4	8	3	4	4	3	4	2	2	7	6	1	3	8	4	9	4	5	7	4	4	0	3	8	3	4	7	0	3	4	11	2	1	3	4	0	10	5	1	7	8	2	6	7	6	3	4	4	6	6	9	5	2	3	3	4	1	4	3	4	4	1	6	2	5	5	3	2	6	7	3	5	7	5	2	4	3
NDNAX2(ins)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
NDNAX3(ins)	1	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	NA	0	NA	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	1	0	0	NA	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	2	0	0	NA	0	1	0	NA	1	1	0	1	0	NA	NA	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	NA	0	2	0	1	2	0
NPAL0A(ins)	1	1	1	1	1	1	1	1	1	1	1	2	2	2	1	1	1	1	1	2	2	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	2	1	1	2	1	1	1	1	1	1	1	1	1	1	2	1	1	0	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	0	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
NPAL5A(ins)	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	NA	0	0	0	0	0	0	3	0	0	5	0	0	0	1	0	0	0	0	0	1	1	0	1	0	0	1	1	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	2	2	2	0	0	0
NPALTA1(ins)	2	0	1	1	1	0	0	1	0	1	1	0	0	1	1	0	1	1	0	0	0	0	0	1	0	NA	0	0	0	0	1	0	1	NA	0	0	0	0	0	1	2	1	0	0	0	0	0	NA	1	1	1	0	0	0	0	1	0	1	1	2	0	2	2	2	1	NA	1	0	0	0	0	0	1	0	1	0	0	1	0	0	0	1	1	1	1	1	1	0	2	1	2	0	0	NA	1	0	0	0	1	0	0	1	0	1	2	1	0	1	0	1	0	1	NA	1	1	0	1	1	1	0	1	1	0	2	1	NA	1	NA	NA	NA	1	0	1	0	0	1	0	0	0	1	0	0	3	0	0	2	1	2	1	0	0	0
NTc2A(ins)	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	NA	1	0	0	0	1	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	1	0	NA	0	NA	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	NA	0	0	0	1	0	1	0	0	0	0	NA	1	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	NA	0	0	0	0	0	0	0	NA	0	0	0	0	NA	1	1	0	0	1	1	0	0	2	1	0	1	1	3	NA	1	1	NA
NeSL-1(ins)	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	NA	NA	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	0	0	NA	0	NA	0	0	0	0	0	NA	0	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0
PAL3A(ins)	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	NA	0	0	0	0	0	1	0	1	0	1	0	0	NA	0	0	0	0	0	0	0	0	NA	0	0	0	NA	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	0	0	3	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	2	0
PAL5A(ins)	6	0	6	3	4	1	2	3	1	3	4	0	0	7	5	0	5	3	0	1	0	NA	3	3	1	NA	1	NA	4	3	3	3	2	4	1	4	3	4	8	4	1	6	4	1	5	2	4	NA	2	1	0	NA	3	2	1	5	5	0	6	3	5	1	1	1	2	NA	0	0	0	NA	1	0	4	3	6	0	1	4	2	0	4	1	NA	2	0	5	1	1	2	1	9	NA	1	NA	4	1	3	1	8	4	4	3	1	NA	2	1	3	0	2	0	NA	NA	NA	0	0	NA	NA	NA	0	NA	NA	NA	0	1	NA	NA	0	0	NA	NA	NA	2	4	3	2	1	5	0	4	0	0	0	7	3	1	3	1	4	0	4	3	NA
PAL8D(ins)	1	0	0	0	1	0	0	1	1	1	0	1	0	1	1	NA	1	2	0	1	0	0	0	2	0	1	1	2	0	0	1	2	2	1	0	1	0	0	0	1	0	2	0	0	2	1	0	0	0	1	1	NA	0	1	1	1	0	0	1	0	0	1	2	1	1	0	0	0	2	2	1	0	1	0	0	1	0	1	0	0	0	0	0	1	0	1	0	1	2	2	4	1	1	0	2	1	0	0	0	0	0	1	0	0	2	1	0	0	2	1	1	1	0	0	2	1	0	0	1	0	0	1	3	0	1	NA	3	0	1	1	1	0	2	0	0	1	0	2	1	0	0	0	4	2	1	2	0	0	0	1	2	0
PAL9A(ins)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
PALNN1(ins)	0	0	1	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	4	3	0	0	0
PALTA1(ins)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PALTA2(ins)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0
PALTA3(ins)	4	0	2	2	2	0	0	2	1	4	2	0	0	3	1	0	3	2	0	0	0	0	0	4	0	0	0	0	0	1	2	3	0	0	0	1	0	0	3	0	0	3	0	0	1	0	1	0	0	0	0	NA	1	1	0	1	2	0	2	3	3	0	NA	0	2	0	0	0	0	0	0	0	0	1	2	0	0	1	0	0	3	NA	NA	1	0	1	0	0	0	0	3	NA	0	0	0	1	1	0	5	1	2	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	NA	0	1	2	0	2	1	1	1	2	0	0	1	3	3	0	0	1	NA	0	3	1	0
PALTA4(ins)	1	1	1	1	2	1	2	1	2	2	1	1	1	1	1	1	1	2	1	2	1	1	1	1	1	1	2	2	1	1	1	1	1	2	1	1	1	1	0	1	0	2	1	2	1	1	1	1	1	1	1	NA	1	1	2	1	2	1	1	1	1	1	1	0	1	0	1	1	1	0	0	0	1	1	1	1	1	1	1	0	1	1	1	1	1	1	2	0	1	1	1	NA	1	1	1	1	1	1	2	2	1	1	1	0	1	1	1	1	1	0	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	0	0	NA	1	1	1	1	2	1	1	1	2	1	2	1	1	2	2	0	1	2	1	1	1	1
PALTTAA1(ins)	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	0	NA	0	0	0	0	1	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA
PALTTTAAA3(ins)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	0	0	1	0	0	NA	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RTE1(ins)	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	1	1	0	0	0	0
