Isotype	Strain	Filtered From Analysis	ReadGroup	Total Reads	Mapped Reads	Duplicate Reads	Length Estimate
CX11285	CX11285	FALSE	Princeton1-PL_11-CX11285	47381033	46830122	1843955	8.03109794583527
CX11292	CX11292	FALSE	BGI1-RET4-CX11292	14235102	14126820	312609	40.1307951319344
CX11292	CX11292	FALSE	BGI2-RET4-CX11292	13489020	13385598	329826	43.6332787125622
CX11292	CX11292	FALSE	BGI3-RET4b-CX11292	24317292	24129166	987244	45.9423239392207
CX11292	CX11292	FALSE	Princeton1-PL_13-CX11292	14681720	14600467	1059329	18.3263357667049
CX11292	CX11292	FALSE	Princeton1-PL_14-CX11292	34038567	33857448	3960368	21.077006053524
CX11307	CX11307	FALSE	BGI1-RET5-CX11307	22921670	22699690	813709	8.96340264550137
CX11307	CX11307	FALSE	BGI2-RET5-CX11307	20367090	20169002	677378	9.80201510630936
CX11307	CX11307	FALSE	BGI3-RET5a-CX11307	41422296	41020113	2271090	8.75018587907138
CX11314	CX11314	FALSE	BGI1-RET3-CX11314	17431282	17257396	456536	30.3836569083849
CX11314	CX11314	FALSE	BGI2-RET3-CX11314	20079872	19878360	602748	33.7881651763781
CX11314	CX11314	FALSE	BGI3-RET3b-CX11314	32081215	31759107	1349536	29.2535277386726
CX11315	CX11315	FALSE	BGI1-RET1-CX11315	17911873	17697799	1149863	71.5594551187262
CX11315	CX11315	FALSE	BGI2-RET1-CX11315	15513339	15327356	935626	76.1865132577625
CX11315	CX11315	FALSE	BGI3-RET1b-CX11315	27917052	27590622	2039674	60.6503992872803
DL200	DL200	FALSE	BGI1-RET4-DL200	8084916	8029382	92076	8.67235439779138
DL200	DL200	FALSE	BGI2-RET4-DL200	7664662	7611788	109119	8.87606809428005
DL200	DL200	FALSE	BGI3-RET4a-DL200	27507842	27313900	1061455	8.8472242693173
DL226	DL226	FALSE	BGI1-RET2-DL226	31290890	30991826	1653279	9.87616582106278
DL226	DL226	FALSE	BGI2-RET2-DL226	29274712	28992644	1473348	8.82841889851792
DL226	DL226	FALSE	BGI3-RET2b-DL226	35499402	35149668	2312185	10.2721493762939
DL238	DL238	FALSE	BGI1-RET1-DL238	12774826	12537306	455770	75.0668910034079
DL238	DL238	FALSE	BGI2-RET1-DL238	13143736	12900522	498290	78.8815035854887
DL238	DL238	FALSE	BGI3-RET1a-DL238	37725662	37066848	2171863	56.2644648172482
DL238	DL238	FALSE	Princeton1-PL_12-DL238	15545948	15133367	253416	8.76350356159479
DL238	DL238	FALSE	Princeton1-PL_21-DL238	28166264	27720363	12438412	10.3572085445715
DL238	DL238	FALSE	Princeton2-P-DL238	48488560	47563085	2883644	58.6816576567601
ECA252	ECA252	FALSE	BGI1-RET3-ECA252	16309256	16256717	491099	21.0158384061551
ECA252	ECA252	FALSE	BGI2-RET3-ECA252	19004437	18941630	643629	22.2516390366938
ECA252	ECA252	FALSE	BGI3-RET3b-ECA252	29595680	29500880	1396668	19.7059539838908
ECA36	ECA36	FALSE	UChicago-EA1-ECA36	15760894	15476881	537709	27.526311315323
ECA36	ECA36	FALSE	UChicago2-L007-ECA36	15331447	14995858	455671	34.6200184113828
ED3005	ED3005	FALSE	BGI1-RET5-ED3005	20529714	20326743	669342	9.10440946498285
ED3005	ED3005	FALSE	BGI2-RET5-ED3005	18532145	18348954	569295	9.94830884498354
ED3005	ED3005	FALSE	BGI3-RET5a-ED3005	39606727	39211848	2102132	8.8270804379628
ED3005	ED3021	FALSE	MMP-ML_2-ED3021	3905920	3839347	26363	5.96891838396237
ED3005	ED3021	FALSE	MMP-ML_3-ED3021	6818444	6719753	55475	6.16417970204548
ED3005	ED3021	FALSE	MMP-ML_5-ED3021	3781446	3727205	22376	6.95209796932844
ED3005	ED3021	FALSE	MMP-ML_6-ED3021	4739136	4663710	26591	6.34291772457568
ED3005	ED3021	FALSE	MMP-ML_7-ED3021	8385428	8248929	53705	6.29358876081688
ED3011	ED3011	FALSE	BGI1-RET3-ED3011	14502009	14330935	408353	51.4520968143561
ED3011	ED3011	FALSE	BGI2-RET3-ED3011	16807486	16606395	548468	58.8971498061338
ED3011	ED3011	FALSE	BGI3-RET3a-ED3011	27219186	26901546	1236302	44.0659360870035
ED3012	ED3012	FALSE	BGI1-RET6-ED3012	2755425	2744916	35737	26.0785654558817
ED3012	ED3012	FALSE	BGI2-RET6-ED3012	9918129	9878769	332023	35.0449127146044
ED3012	ED3012	FALSE	BGI3-RET6a-ED3012	24677847	24578352	1195894	29.7256696994898
ED3012	ED3012	FALSE	Princeton1-PL_17-ED3012	36321357	36161987	12283112	12.5510123174345
ED3017	ED3017	FALSE	BGI1-RET2-ED3017	12032760	11946352	443723	23.7479040912581
ED3017	ED3017	FALSE	BGI2-RET2-ED3017	11154134	11073302	386022	22.209945990402
ED3017	ED3017	FALSE	BGI3-RET2a-ED3017	20298112	20143972	1241600	23.9574400911615
ED3017	ED3017	FALSE	MMP-ML_2-ED3017	4313312	4258445	30479	5.20155887080599
ED3017	ED3017	FALSE	MMP-ML_3-ED3017	6496608	6429463	49517	5.49477542461527
ED3017	ED3017	FALSE	MMP-ML_5-ED3017	3663320	3626056	23108	5.76529168740978
ED3017	ED3017	FALSE	MMP-ML_6-ED3017	4968426	4910588	32104	5.37624135785419
ED3017	ED3017	FALSE	MMP-ML_7-ED3017	8993958	8885759	66673	5.38905042536665
ED3017	ED3017	FALSE	Princeton1-PL_23-ED3017	87561166	86060336	40612283	6.48700300333393
ED3017	ED3017	FALSE	UChicago2-L007-ED3017	15111837	14988297	409499	10.2259724871424
ED3040	ED3040	FALSE	BGI1-RET7-ED3040	18590072	18490902	458728	9.59863602495946
ED3040	ED3040	FALSE	BGI2-RET7-ED3040	16945251	16854492	397986	10.3699239198451
ED3040	ED3040	FALSE	BGI3-RET7a-ED3040	29187977	29031117	1045460	10.619346044291
ED3040	ED3040	FALSE	MMP-ML_2-ED3040	4863482	4810524	42907	6.7285081335963
ED3040	ED3040	FALSE	MMP-ML_3-ED3040	8261484	8189264	86901	6.73399582187227
ED3040	ED3040	FALSE	MMP-ML_5-ED3040	3802920	3768971	23668	7.59696826478337
ED3040	ED3040	FALSE	MMP-ML_6-ED3040	4023376	3983373	24314	7.13339245151891
ED3040	ED3040	FALSE	MMP-ML_7-ED3040	7552504	7473943	51884	6.99901101178526
ED3040	ED3040	FALSE	Princeton1-PL_10-ED3040	21264882	21099982	414331	8.28092160844768
ED3040	ED3040	FALSE	Princeton1-PL_11-ED3040	46228280	45829329	1454248	8.83644966184861
ED3046	ED3046	FALSE	BGI1-RET2-ED3046	18893258	18710125	542308	17.223511192317
ED3046	ED3046	FALSE	BGI2-RET2-ED3046	18123445	17947053	498038	16.0922443311329
ED3046	ED3046	FALSE	BGI3-RET2b-ED3046	28481469	28197096	1219954	18.7869000437203
ED3046	ED3046	FALSE	Princeton1-PL_13-ED3046	18428863	18238408	1413943	8.23447702718516
ED3046	ED3046	FALSE	Princeton1-PL_14-ED3046	42185486	41767737	5150078	8.24625548007018
ED3048	ED3042	FALSE	MMP-ML_2-ED3042	3935596	3887362	29062	6.41435136440223
ED3048	ED3042	FALSE	MMP-ML_3-ED3042	6439850	6377848	56099	6.63300228068599
ED3048	ED3042	FALSE	MMP-ML_5-ED3042	3471666	3437087	18311	7.71916971346546
ED3048	ED3042	FALSE	MMP-ML_6-ED3042	4712472	4658482	23557	6.6080600682414
ED3048	ED3042	FALSE	MMP-ML_7-ED3042	8571558	8471949	50732	6.39319030302584
ED3048	ED3048	FALSE	BGI1-RET4-ED3048	14453293	14380769	246926	14.2998448787492
ED3048	ED3048	FALSE	BGI2-RET4-ED3048	13281391	13213561	250346	13.9444836013659
ED3048	ED3048	FALSE	BGI3-RET4a-ED3048	37433552	37242810	1642443	14.2545379889585
ED3049	ED3049	FALSE	BGI1-RET1-ED3049	16776132	16066740	1018117	42.0213037430081
ED3049	ED3049	FALSE	BGI2-RET1-ED3049	15765806	15110041	934338	44.2193905896475
ED3049	ED3049	FALSE	BGI3-RET1b-ED3049	27828798	26745681	2110439	37.2151595816973
ED3049	ED3049	FALSE	MMP-ML_2-ED3049	4285784	4213565	31941	5.66489376117053
ED3049	ED3049	FALSE	MMP-ML_3-ED3049	7354118	7251342	66390	5.77606629487847
ED3049	ED3049	FALSE	MMP-ML_5-ED3049	3574992	3525463	20901	6.18827868434034
ED3049	ED3049	FALSE	MMP-ML_6-ED3049	4202292	4136863	24423	5.71724764578389
ED3049	ED3049	FALSE	MMP-ML_7-ED3049	7849990	7726741	54566	5.90622489156073
ED3049	ED3049	FALSE	Princeton1-PL_15-ED3049	13218338	12877700	210458	8.1664163079575
ED3049	ED3049	FALSE	Princeton1-PL_16-ED3049	52238303	48264208	1712265	6.90237415970588
ED3052	ED3052	FALSE	BGI1-RET5-ED3052	16802083	16667981	590455	6.23614872609407
ED3052	ED3052	FALSE	BGI2-RET5-ED3052	14764214	14645623	476580	6.73613735876046
ED3052	ED3052	FALSE	BGI3-RET5b-ED3052	36441790	36149640	1949886	5.86354807676086
ED3052	ED3052	FALSE	MMP-ML_2-ED3052	4130554	4076287	32298	5.11132655248284
ED3052	ED3052	FALSE	MMP-ML_3-ED3052	6637559	6563636	62344	5.12433638907857
ED3052	ED3052	FALSE	MMP-ML_5-ED3052	3372414	3334752	18843	5.57106767625689
ED3052	ED3052	FALSE	MMP-ML_6-ED3052	4346660	4293125	23943	5.12400846624257
ED3052	ED3052	FALSE	MMP-ML_7-ED3052	8172688	8068571	55111	5.17839681089971
ED3073	ED3057	FALSE	MMP-ML_2-ED3057	3226346	3175006	21448	4.74420689912283
ED3073	ED3057	FALSE	MMP-ML_3-ED3057	5558481	5484732	42854	5.1335918438172
ED3073	ED3057	FALSE	MMP-ML_5-ED3057	2968230	2928766	15239	5.84950093323491
ED3073	ED3057	FALSE	MMP-ML_6-ED3057	5583802	5499282	30272	5.17940734861882
ED3073	ED3057	FALSE	MMP-ML_7-ED3057	9986082	9832953	62031	4.97268211588114
ED3073	ED3072	FALSE	MMP-ML_2-ED3072	5918273	5843347	47675	5.26693597662064
ED3073	ED3072	FALSE	MMP-ML_3-ED3072	9324892	9231151	85470	5.39926957170496
ED3073	ED3072	FALSE	MMP-ML_5-ED3072	4658326	4611723	28040	5.95489131734475
ED3073	ED3072	FALSE	MMP-ML_6-ED3072	3505352	3464661	19476	5.41976140280379
ED3073	ED3072	FALSE	MMP-ML_7-ED3072	6500442	6423341	39875	5.30152848966761
ED3073	ED3073	FALSE	BGI1-RET4-ED3073	15543667	15437621	283035	12.0140219427219
ED3073	ED3073	FALSE	BGI2-RET4-ED3073	14190835	14093181	285982	12.3412755484478
ED3073	ED3073	FALSE	BGI3-RET4a-ED3073	41712462	41422063	1981555	12.0072627169186
ED3073	ED3073	FALSE	Princeton1-PL_17-ED3073	29955170	29741725	5830191	7.1384116786006
ED3077	ED3077	FALSE	BGI1-RET7-ED3077	18612488	18481163	536041	8.94854573333959
ED3077	ED3077	FALSE	BGI2-RET7-ED3077	16915874	16795591	465828	9.86358429184469
ED3077	ED3077	FALSE	BGI3-RET7a-ED3077	29881726	29666990	1165397	10.1116010327077
ED3077	ED3077	FALSE	Princeton1-PL_23-ED3077	42779174	42394405	1318192	8.10544942967197
EG4347	EG4347	FALSE	BGI1-RET3-EG4347	14250130	14194356	350992	23.5268573305807
EG4347	EG4347	FALSE	BGI2-RET3-EG4347	15930044	15866956	442990	24.6648164945404
EG4347	EG4347	FALSE	BGI3-RET3a-EG4347	25483339	25384650	1032487	19.757150100124
EG4347	EG4347	FALSE	Rockman-R096.4-EG4347	9294563	9220881	56520	5.81888364803663
EG4349	EG4348	FALSE	Rockman-R096.2-EG4348	8145284	8034581	116294	5.88047960278307
EG4349	EG4349	FALSE	BGI2-RET6-EG4349	12648632	12521336	378240	7.9196041815941
EG4349	EG4349	FALSE	BGI3-RET6a-EG4349	33809857	33465326	1720367	7.00389639281143
EG4724	EG4724	FALSE	BGI1-RET5-EG4724	12541066	12423689	374576	27.4312806159098
EG4724	EG4724	FALSE	BGI2-RET5-EG4724	10265916	10169264	274042	25.7761402934533
EG4724	EG4724	FALSE	BGI3-RET5a-EG4724	25505516	25269262	1228857	27.3051307085901
EG4724	EG4724	FALSE	Princeton1-PL_17-EG4724	26906245	26605728	7526116	8.19766936191946
EG4724	EG4724	FALSE	Princeton1-PL_20-EG4724	1490091	1474115	12371	12.308884803014
EG4724	EG4724	FALSE	Princeton1-PL_24-EG4724	36119486	35719731	5815041	14.5642577614124
EG4725	EG4725	FALSE	BGI1-RET2-EG4725	5793667	5726535	125085	27.8369680101655
EG4725	EG4725	FALSE	BGI2-RET2-EG4725	5595486	5530073	116304	26.7206919071987
EG4725	EG4725	FALSE	BGI3-RET2a-EG4725	9533373	9419282	322012	29.7488250670933
EG4725	EG4725	FALSE	Princeton1-PL_20-EG4725	5799289	5714702	467373	6.85633111660988
EG4725	EG4725	FALSE	UChicago-EA1-EG4725	12004034	11881666	315691	10.2886124411218
EG4725	EG4725	FALSE	UChicago2-L007-EG4725	11000637	10862946	233307	14.3950763472457
EG4946	EG4946	FALSE	BGI1-RET7-EG4946	12703695	12154639	344523	16.1949042557103
EG4946	EG4946	FALSE	BGI2-RET7-EG4946	11429071	10915138	294539	17.9065276135927
EG4946	EG4946	FALSE	BGI3-RET7a-EG4946	20861684	19966971	819786	18.9934914304025
EG4946	EG4946	FALSE	Princeton1-PL_10-EG4946	19534891	19357852	340889	7.61664363494357
EG4946	EG4946	FALSE	Princeton1-PL_11-EG4946	43823160	43423464	1281434	8.65461979543609
GXW1	GXW1	FALSE	BGI1-RET6-GXW1	4857723	4823343	40131	8.18823321500589
GXW1	GXW1	FALSE	BGI2-RET6-GXW1	14305787	14198370	287401	8.82052198124273
GXW1	GXW1	FALSE	BGI3-RET6b-GXW1	27159258	26958451	868110	8.81021583496834
GXW1	GXW1	FALSE	MMP-ML_2-GXW1	5184780	5115863	41918	5.03409737845265
GXW1	GXW1	FALSE	MMP-ML_3-GXW1	8969944	8871585	86406	5.12319869760672
GXW1	GXW1	FALSE	MMP-ML_5-GXW1	4028520	3984848	23430	5.83285048392927
GXW1	GXW1	FALSE	MMP-ML_6-GXW1	3991218	3942120	22246	5.19678056662423
GXW1	GXW1	FALSE	MMP-ML_7-GXW1	7615104	7518698	48118	4.92159976879514
GXW1	GXW1	FALSE	Princeton1-PL_3-GXW1	18812407	18433059	133568	6.47452855096024
GXW1	GXW1	FALSE	Princeton1-PL_4-GXW1	5514032	5446186	17372	5.68151074896229
JT11398	JT11398	FALSE	BGI1-RET2-JT11398	11347488	11297687	377903	43.9064585118614
JT11398	JT11398	FALSE	BGI2-RET2-JT11398	11375359	11325424	376381	40.8956584161555
JT11398	JT11398	FALSE	BGI3-RET2a-JT11398	8721085	8680047	311321	45.6660656806448
JT11398	JT11398	FALSE	UChicago-EA2-JT11398	16450635	16369503	468366	37.5825000810489
JT11398	JT11398	FALSE	UChicago2-L008-JT11398	20113068	20012485	535736	32.530012254569
JU1088	JU1088	FALSE	BGI1-RET3-JU1088	15302333	15132556	429661	19.1957997433083
JU1088	JU1088	FALSE	BGI2-RET3-JU1088	18025955	17823639	579961	21.0430760784518
JU1088	JU1088	FALSE	BGI3-RET3b-JU1088	27302101	26997099	1191943	17.9713760274881
JU1088	JU1088	FALSE	MMP-ML_2-JU1088	4166560	4095322	31670	5.48882596744778
JU1088	JU1088	FALSE	MMP-ML_3-JU1088	6447462	6356729	55786	5.50802618411092
JU1088	JU1088	FALSE	MMP-ML_5-JU1088	3475230	3425905	21527	6.06841284932692
JU1088	JU1088	FALSE	MMP-ML_6-JU1088	5168816	5085685	33408	5.56248145179582
JU1088	JU1088	FALSE	MMP-ML_7-JU1088	9404152	9251943	72178	5.3203606296781
JU1088	JU1088	FALSE	Rockman-R096.4-JU1088	7943623	7835783	50100	6.11348550852046
JU1172	JU1172	FALSE	BGI1-RET4-JU1172	13667909	13564894	294142	20.0677398719387
JU1172	JU1172	FALSE	BGI2-RET4-JU1172	11922260	11831611	271740	20.8296585429385
JU1172	JU1172	FALSE	BGI3-RET4b-JU1172	26794367	26587900	1109322	22.2154336786779
JU1200	JU1200	FALSE	BGI1-RET2-JU1200	14446536	14419915	522822	16.4778548170618
JU1200	JU1200	FALSE	BGI2-RET2-JU1200	14123968	14097989	495502	15.626058519786
JU1200	JU1200	FALSE	BGI3-RET2a-JU1200	26179410	26129315	1467318	17.4256856591673
JU1200	JU1200	FALSE	Princeton1-PL_17-JU1200	30547335	30465590	4175492	6.30222852370015
JU1200	JU1200	FALSE	Princeton1-PL_21-JU1200	20877928	20819769	482380	5.80283550598079
JU1200	JU1200	FALSE	Princeton1-PL_24-JU1200	48669055	48527622	2172625	6.92586414244816
JU1212	JU1212	FALSE	BGI1-RET6-JU1212	4523110	4493411	43983	11.1630956448069
JU1212	JU1212	FALSE	BGI2-RET6-JU1212	11961248	11879454	239036	13.182029546144
JU1212	JU1212	FALSE	BGI3-RET6a-JU1212	32223241	32004732	1282347	12.1303341649615
JU1213	JU1213	FALSE	BGI1-RET5-JU1213	11244501	11148232	301848	12.2562163801702
JU1213	JU1213	FALSE	BGI2-RET5-JU1213	10061320	9975101	253766	13.1343803503819
JU1213	JU1213	FALSE	BGI3-RET5a-JU1213	20243183	20070911	821783	12.6384137916836
JU1213	JU533	FALSE	MMP-ML_2-JU533	4121100	4048536	38255	4.57727409868875
JU1213	JU533	FALSE	MMP-ML_3-JU533	6955962	6855604	78478	4.88949679238068
JU1213	JU533	FALSE	MMP-ML_5-JU533	3199236	3153850	19973	4.95246466919611
JU1213	JU533	FALSE	MMP-ML_6-JU533	4441856	4369032	28986	4.69442955107806
