Isotype	Strain	Filtered From Analysis	ReadGroup	Total Reads	Mapped Reads	Duplicate Reads	Length Estimate
AB1	AB1	FALSE	BGI1-RET2-AB1	22604394	22468562	1109699	12.8444697941437
AB1	AB1	FALSE	BGI2-RET2-AB1	21823618	21691567	1038365	11.5380653693227
AB1	AB1	FALSE	BGI3-RET2b-AB1	39699940	39453587	3075825	13.0511950268814
AB1	AB1	FALSE	MMP-ML_2-AB1	4356586	4287889	32865	5.02103400343471
AB1	AB1	FALSE	MMP-ML_3-AB1	6847990	6762302	57848	5.31425055724399
AB1	AB1	FALSE	MMP-ML_5-AB1	3724306	3680232	23171	5.44044731068311
AB1	AB1	FALSE	MMP-ML_6-AB1	4482548	4417820	27209	5.26794651433975
AB1	AB1	FALSE	MMP-ML_7-AB1	8100938	7985141	56333	5.00406901589862
AB1	AB1	FALSE	Rockman-R096.2-AB1	11265679	11085424	286569	8.96969341011042
BRC20067	BRC20067	FALSE	UChicago-EA2-BRC20067	15442595	14242067	397723	9.4520076711465
BRC20067	BRC20067	FALSE	UChicago2-L008-BRC20067	20991251	19502534	548450	6.94520489746959
CB4851	ECA243	FALSE	BGI1-RET3-ECA243	19990139	19640394	637650	18.8305338578171
CB4851	ECA243	FALSE	BGI2-RET3-ECA243	22354383	21948655	796782	20.8447831472113
CB4851	ECA243	FALSE	BGI3-RET3b-ECA243	34197210	33593876	1672084	18.0595136550425
CB4851	ECA243	FALSE	Princeton1-PL_22-ECA243	13272447	13217574	913435	9.42222692379517
CB4851	ECA243	FALSE	Princeton1-PL_23-ECA243	40915029	40692976	1361227	7.32934307678791
CB4852	CB4852	FALSE	BGI1-RET1-CB4852	24092345	23973351	1621575	15.511218604157
CB4852	CB4852	FALSE	BGI1-RET4-CB4852	54165626	53924571	3213581	8.92846882501284
CB4852	CB4852	FALSE	BGI2-RET1-CB4852	23881767	23762753	1622222	16.277754964072
CB4852	CB4852	FALSE	BGI2-RET4-CB4852	51431154	51200708	3066431	8.93690112651007
CB4852	CB4852	FALSE	BGI3-RET1b-CB4852	41770045	41571660	3497539	13.9820943429646
CB4852	CB4852	FALSE	Princeton1-PL_10-CB4852	31130971	30985025	1172007	7.52482524086261
CB4852	CB4852	FALSE	Princeton1-PL_11-CB4852	66981967	66678739	4032939	8.0810225245411
CB4852	CB4852	FALSE	Rockman-R096.2-CB4852	11483040	11387231	302515	10.1364294760051
CB4853	ECA245	FALSE	BGI2-RET6-ECA245	13782113	13671314	365235	10.088780280243
CB4853	ECA245	FALSE	BGI3-RET6a-ECA245	36569878	36274812	1707661	9.03353797858946
CB4853	ECA246	FALSE	BGI1-RET3-ECA246	11717851	11618596	294857	11.5985637864139
CB4853	ECA246	FALSE	BGI2-RET3-ECA246	14189144	14070087	426872	13.1176495934429
CB4853	ECA246	FALSE	BGI3-RET3a-ECA246	28354212	28112543	1571175	10.6293844984544
CB4853	ECA246	FALSE	MMP-ML_2-ECA246	3948560	3875670	33581	5.78485998072558
CB4853	ECA246	FALSE	MMP-ML_3-ECA246	6947358	6836278	73770	5.93454671690699
CB4853	ECA246	FALSE	MMP-ML_5-ECA246	3528042	3470351	22022	6.18348030325025
CB4853	ECA246	FALSE	MMP-ML_6-ECA246	4588336	4505657	27992	6.01307419767565
CB4853	ECA246	FALSE	MMP-ML_7-ECA246	8304150	8152685	60550	5.67281744765681
CB4853	ECA246	FALSE	Princeton1-PL_13-ECA246	17047954	16816377	312425	7.20359470763475
CB4853	ECA246	FALSE	Princeton1-PL_14-ECA246	37479935	36958301	1055921	6.90752723284307
CB4854	CB4854	FALSE	BGI1-RET7-CB4854	14993302	14915948	410752	11.6450083676764
CB4854	CB4854	FALSE	BGI2-RET7-CB4854	11862351	11801076	289573	11.3148770717571
CB4854	CB4854	FALSE	BGI3-RET7a-CB4854	23041368	22921170	877312	12.4456754717469
CB4854	CB4854	FALSE	MMP-ML_2-CB4854	3144900	3108738	20283	4.66176442123045
CB4854	CB4854	FALSE	MMP-ML_3-CB4854	4738813	4695768	35057	5.03226368749214
CB4854	CB4854	FALSE	MMP-ML_5-CB4854	2393222	2371943	10902	5.16879335641675
CB4854	CB4854	FALSE	MMP-ML_6-CB4854	5459238	5402748	29731	5.38906380997221
CB4854	CB4854	FALSE	MMP-ML_7-CB4854	10175454	10066863	66632	4.82687691530957
CB4855	ECA248	FALSE	BGI1-RET4-ECA248	12505250	12401155	386455	45.4650958282941
CB4855	ECA248	FALSE	BGI2-RET4-ECA248	11530746	11434054	376348	49.0893123964096
CB4855	ECA248	FALSE	BGI3-RET4b-ECA248	18807654	18647094	947445	51.3913976281816
CB4855	ECA248	FALSE	Princeton1-PL_3-ECA248	20197264	17492355	183262	26.7056342259536
CB4855	ECA248	FALSE	Princeton1-PL_4-ECA248	6418605	5669940	26534	20.765947820515
CB4856	CB4856	FALSE	BGI1-RET1-CB4856	13269759	13075610	552035	21.9324831173264
CB4856	CB4856	FALSE	BGI2-RET1-CB4856	11283435	11116090	434894	22.4183442988335
CB4856	CB4856	FALSE	BGI3-RET1a-CB4856	42166465	41563219	2906713	17.548824030238
CB4856	CB4856	TRUE	MMP-ML_1-CB4856	0	0	0	NA
CB4856	CB4856	FALSE	Princeton2-P-CB4856	37455456	36870931	2188534	18.6648324410938
CB4856	CB4856	FALSE	Rockman-R999.1-CB4856	44500048	38263781	947029	3.10870848531261
CB4856	CB4856	FALSE	UChicago-EA1-CB4856	13232243	12988509	375538	10.2252363338371
CB4856	CB4856	FALSE	UChicago2-L007-CB4856	10204312	9978836	220081	12.5242431063322
CB4857	ECA249	FALSE	BGI3-RET1b-ECA249	30705628	30448007	2412275	23.7297679507363
CB4857	ECA249	FALSE	UChicago-EA1-ECA249	15641260	15529986	466829	7.33529922625817
CB4857	ECA249	FALSE	UChicago2-L007-ECA249	15452224	15321572	377611	8.71217359930608
CB4857	ECA250	FALSE	BGI1-RET6-ECA250	4604595	4568028	54459	17.0491097819854
CB4857	ECA250	FALSE	BGI2-RET6-ECA250	12528090	12421510	319760	21.2423728551085
CB4857	ECA250	FALSE	BGI3-RET6b-ECA250	28489301	28251187	1220069	20.2831650982846
CB4858	AB2	FALSE	Rockman-R999.1-AB2	40418009	38054828	713947	7.95708107713735
CB4858	AB3	FALSE	MMP-ML_2-AB3	5014634	4925021	44613	14.7888514425608
CB4858	AB3	FALSE	MMP-ML_3-AB3	8195684	8070813	87470	15.9432736713485
CB4858	AB3	FALSE	MMP-ML_5-AB3	3944394	3883283	25095	19.307695045716
CB4858	AB3	FALSE	MMP-ML_6-AB3	3606176	3545216	21346	16.3749941234012
CB4858	AB3	FALSE	MMP-ML_7-AB3	6774606	6658240	47093	15.9095444653595
CB4858	AB4	FALSE	BGI1-RET2-AB4	19438384	19280105	992272	52.6918459035323
CB4858	AB4	FALSE	BGI2-RET2-AB4	18859482	18705522	914588	48.2933968273099
CB4858	AB4	FALSE	BGI3-RET2a-AB4	31737946	31470743	2228171	56.683269124944
CB4858	AB4	FALSE	Princeton1-PL_10-AB4	22871156	22665175	547497	17.3688010855749
CB4858	AB4	FALSE	Princeton1-PL_11-AB4	50707913	50263640	1952805	21.0865091234653
CB4858	AB4	FALSE	Princeton1-PL_12-AB4	15051861	14768051	175604	13.3539548044487
CB4858	ECA251	FALSE	BGI1-RET4-ECA251	14044703	13929007	318099	40.6321824558809
CB4858	ECA251	FALSE	BGI2-RET4-ECA251	12978156	12869147	310607	37.3836717655864
CB4858	ECA251	FALSE	BGI3-RET4b-ECA251	20799914	20626287	797114	45.3833828114042
CB4932	CB4932	FALSE	BGI1-RET7-CB4932	17295302	17216212	556848	12.547599243019
CB4932	CB4932	FALSE	BGI2-RET7-CB4932	15800090	15727619	495212	13.8579521264776
CB4932	CB4932	FALSE	BGI3-RET7b-CB4932	26279907	26159939	1163874	14.5259777895361
CB4932	CB4932	FALSE	Princeton1-PL_13-CB4932	17021442	16923428	341316	7.28390234094172
CB4932	CB4932	FALSE	Princeton1-PL_14-CB4932	38522539	38296568	1221593	7.27767849936042
CX11254	CX11254	FALSE	BGI1-RET3-CX11254	15513816	15272191	362377	18.5807771182325
CX11254	CX11254	FALSE	BGI2-RET3-CX11254	18519446	18224782	504485	20.8787800453113
CX11254	CX11254	FALSE	BGI3-RET3b-CX11254	26654352	26235862	968789	17.8511153466109
CX11262	CX11262	FALSE	BGI2-RET6-CX11262	13407387	13247452	367098	16.3280141579166
CX11262	CX11262	FALSE	BGI3-RET6a-CX11262	36154463	35722080	1734972	13.6330907532181
CX11264	CX11264	FALSE	BGI1-RET5-CX11264	18923058	18710914	825965	51.8696295845245
CX11264	CX11264	FALSE	BGI2-RET5-CX11264	15866416	15688592	654125	58.4163078517083
CX11264	CX11264	FALSE	BGI3-RET5a-CX11264	35773967	35371761	2297555	50.2708384514384
CX11264	CX11264	FALSE	Princeton1-PL_15-CX11264	13772918	13597525	1045703	22.51029653897
CX11264	CX11264	FALSE	Princeton1-PL_16-CX11264	59636265	58921674	10135293	23.126925316712
CX11271	CX11271	FALSE	BGI1-RET7-CX11271	14390059	14317749	324497	21.5399126365109
CX11271	CX11271	FALSE	BGI2-RET7-CX11271	12927305	12861964	280435	24.1954183778612
CX11271	CX11271	FALSE	BGI3-RET7a-CX11271	22131145	22018812	650638	25.868560994784
CX11271	CX11271	FALSE	Princeton1-PL_21-CX11271	34103602	33824168	12525153	15.2098642101726
CX11276	CX11276	FALSE	BGI1-RET2-CX11276	16992423	16799740	766151	15.7937007043142
CX11276	CX11276	FALSE	BGI2-RET2-CX11276	16161779	15978258	698836	14.5309970166177
CX11276	CX11276	FALSE	BGI3-RET2b-CX11276	26702811	26380168	1776202	16.805576883982
CX11285	CX11285	FALSE	BGI1-RET2-CX11285	19440924	19226867	509302	9.67251904760187
CX11285	CX11285	FALSE	BGI2-RET2-CX11285	18392335	18188598	462086	8.92672882629119
CX11285	CX11285	FALSE	BGI3-RET2a-CX11285	70842360	70022231	5526758	10.0244672505696
CX11285	CX11285	FALSE	Princeton1-PL_10-CX11285	19123033	18893031	428893	7.03260637171867
