Isotype	Strain	Sequencing Run	Sequencing Library	Source	ReadGroup	Library Preparation Method	Trimming
DL226	DL226	BGI2	RET2	Andersen	BGI2-RET2-DL226	Tagmentation	ILLUMINACLIP:NexteraPE-PE.fa:2:80:10 MINLEN:45
DL226	DL226	BGI3	RET2b	Andersen	BGI3-RET2b-DL226	Tagmentation	ILLUMINACLIP:NexteraPE-PE.fa:2:80:10 MINLEN:45
ECA252	ECA252	BGI1	RET3	Andersen	BGI1-RET3-ECA252	Tagmentation	ILLUMINACLIP:NexteraPE-PE.fa:2:80:10 MINLEN:45
ECA252	ECA252	BGI2	RET3	Andersen	BGI2-RET3-ECA252	Tagmentation	ILLUMINACLIP:NexteraPE-PE.fa:2:80:10 MINLEN:45
ECA252	ECA252	BGI3	RET3b	Andersen	BGI3-RET3b-ECA252	Tagmentation	ILLUMINACLIP:NexteraPE-PE.fa:2:80:10 MINLEN:45
ED3011	ED3011	BGI1	RET3	Andersen	BGI1-RET3-ED3011	Tagmentation	ILLUMINACLIP:NexteraPE-PE.fa:2:80:10 MINLEN:45
ED3011	ED3011	BGI2	RET3	Andersen	BGI2-RET3-ED3011	Tagmentation	ILLUMINACLIP:NexteraPE-PE.fa:2:80:10 MINLEN:45
ED3011	ED3011	BGI3	RET3a	Andersen	BGI3-RET3a-ED3011	Tagmentation	ILLUMINACLIP:NexteraPE-PE.fa:2:80:10 MINLEN:45
CB4853	ECA246	BGI1	RET3	Andersen	BGI1-RET3-ECA246	Tagmentation	ILLUMINACLIP:NexteraPE-PE.fa:2:80:10 MINLEN:45
CB4853	ECA246	BGI2	RET3	Andersen	BGI2-RET3-ECA246	Tagmentation	ILLUMINACLIP:NexteraPE-PE.fa:2:80:10 MINLEN:45
CB4853	ECA245	BGI2	RET6	Andersen	BGI2-RET6-ECA245	Tagmentation	ILLUMINACLIP:NexteraPE-PE.fa:2:80:10 MINLEN:45
CB4853	ECA246	BGI3	RET3a	Andersen	BGI3-RET3a-ECA246	Tagmentation	ILLUMINACLIP:NexteraPE-PE.fa:2:80:10 MINLEN:45
CB4853	ECA245	BGI3	RET6a	Andersen	BGI3-RET6a-ECA245	Tagmentation	ILLUMINACLIP:NexteraPE-PE.fa:2:80:10 MINLEN:45
CB4853	ECA246	MMP	ML_2	MMP	MMP-ML_2-ECA246	Sonication	NA
CB4853	ECA246	MMP	ML_3	MMP	MMP-ML_3-ECA246	Sonication	NA
CB4853	ECA246	MMP	ML_5	MMP	MMP-ML_5-ECA246	Sonication	NA
CB4853	ECA246	MMP	ML_6	MMP	MMP-ML_6-ECA246	Sonication	NA
CB4853	ECA246	MMP	ML_7	MMP	MMP-ML_7-ECA246	Sonication	NA
CB4853	ECA246	Princeton1	PL_13	Princeton	Princeton1-PL_13-ECA246	Sonication	NA
CB4853	ECA246	Princeton1	PL_14	Princeton	Princeton1-PL_14-ECA246	Sonication	NA
ED3012	ED3012	BGI1	RET6	Andersen	BGI1-RET6-ED3012	Tagmentation	ILLUMINACLIP:NexteraPE-PE.fa:2:80:10 MINLEN:45
ED3012	ED3012	BGI2	RET6	Andersen	BGI2-RET6-ED3012	Tagmentation	ILLUMINACLIP:NexteraPE-PE.fa:2:80:10 MINLEN:45
ED3012	ED3012	BGI3	RET6a	Andersen	BGI3-RET6a-ED3012	Tagmentation	ILLUMINACLIP:NexteraPE-PE.fa:2:80:10 MINLEN:45
ED3012	ED3012	Princeton1	PL_17	Princeton	Princeton1-PL_17-ED3012	Sonication	NA
CX11285	CX11285	BGI1	RET2	Andersen	BGI1-RET2-CX11285	Tagmentation	ILLUMINACLIP:NexteraPE-PE.fa:2:80:10 MINLEN:45
CX11285	CX11285	BGI2	RET2	Andersen	BGI2-RET2-CX11285	Tagmentation	ILLUMINACLIP:NexteraPE-PE.fa:2:80:10 MINLEN:45
CX11285	CX11285	BGI3	RET2a	Andersen	BGI3-RET2a-CX11285	Tagmentation	ILLUMINACLIP:NexteraPE-PE.fa:2:80:10 MINLEN:45
CX11285	CX11285	Princeton1	PL_10	Princeton	Princeton1-PL_10-CX11285	Sonication	NA
CX11285	CX11285	Princeton1	PL_11	Princeton	Princeton1-PL_11-CX11285	Sonication	NA
ED3005	ED3005	BGI1	RET5	Andersen	BGI1-RET5-ED3005	Tagmentation	ILLUMINACLIP:NexteraPE-PE.fa:2:80:10 MINLEN:45
ED3005	ED3005	BGI2	RET5	Andersen	BGI2-RET5-ED3005	Tagmentation	ILLUMINACLIP:NexteraPE-PE.fa:2:80:10 MINLEN:45
ED3005	ED3005	BGI3	RET5a	Andersen	BGI3-RET5a-ED3005	Tagmentation	ILLUMINACLIP:NexteraPE-PE.fa:2:80:10 MINLEN:45
ED3005	ED3021	MMP	ML_2	MMP	MMP-ML_2-ED3021	Sonication	NA
ED3005	ED3021	MMP	ML_3	MMP	MMP-ML_3-ED3021	Sonication	NA
ED3005	ED3021	MMP	ML_5	MMP	MMP-ML_5-ED3021	Sonication	NA
ED3005	ED3021	MMP	ML_6	MMP	MMP-ML_6-ED3021	Sonication	NA
ED3005	ED3021	MMP	ML_7	MMP	MMP-ML_7-ED3021	Sonication	NA
ED3048	ED3048	BGI1	RET4	Andersen	BGI1-RET4-ED3048	Tagmentation	ILLUMINACLIP:NexteraPE-PE.fa:2:80:10 MINLEN:45
ED3048	ED3048	BGI2	RET4	Andersen	BGI2-RET4-ED3048	Tagmentation	ILLUMINACLIP:NexteraPE-PE.fa:2:80:10 MINLEN:45
ED3048	ED3048	BGI3	RET4a	Andersen	BGI3-RET4a-ED3048	Tagmentation	ILLUMINACLIP:NexteraPE-PE.fa:2:80:10 MINLEN:45
ED3048	ED3042	MMP	ML_2	MMP	MMP-ML_2-ED3042	Sonication	NA
ED3048	ED3042	MMP	ML_3	MMP	MMP-ML_3-ED3042	Sonication	NA
ED3048	ED3042	MMP	ML_5	MMP	MMP-ML_5-ED3042	Sonication	NA
ED3048	ED3042	MMP	ML_6	MMP	MMP-ML_6-ED3042	Sonication	NA
ED3048	ED3042	MMP	ML_7	MMP	MMP-ML_7-ED3042	Sonication	NA
EG4349	EG4349	BGI2	RET6	Andersen	BGI2-RET6-EG4349	Tagmentation	ILLUMINACLIP:NexteraPE-PE.fa:2:80:10 MINLEN:45
EG4349	EG4349	BGI3	RET6a	Andersen	BGI3-RET6a-EG4349	Tagmentation	ILLUMINACLIP:NexteraPE-PE.fa:2:80:10 MINLEN:45
EG4349	EG4348	Rockman	R096.2	Rockman	Rockman-R096.2-EG4348	Sonication	NA
EG4347	EG4347	BGI1	RET3	Andersen	BGI1-RET3-EG4347	Tagmentation	ILLUMINACLIP:NexteraPE-PE.fa:2:80:10 MINLEN:45
EG4347	EG4347	BGI2	RET3	Andersen	BGI2-RET3-EG4347	Tagmentation	ILLUMINACLIP:NexteraPE-PE.fa:2:80:10 MINLEN:45
EG4347	EG4347	BGI3	RET3a	Andersen	BGI3-RET3a-EG4347	Tagmentation	ILLUMINACLIP:NexteraPE-PE.fa:2:80:10 MINLEN:45
EG4347	EG4347	Rockman	R096.4	Rockman	Rockman-R096.4-EG4347	Sonication	NA
ED3052	ED3052	BGI1	RET5	Andersen	BGI1-RET5-ED3052	Tagmentation	ILLUMINACLIP:NexteraPE-PE.fa:2:80:10 MINLEN:45
ED3052	ED3052	BGI2	RET5	Andersen	BGI2-RET5-ED3052	Tagmentation	ILLUMINACLIP:NexteraPE-PE.fa:2:80:10 MINLEN:45
ED3052	ED3052	BGI3	RET5b	Andersen	BGI3-RET5b-ED3052	Tagmentation	ILLUMINACLIP:NexteraPE-PE.fa:2:80:10 MINLEN:45
ED3052	ED3052	MMP	ML_2	MMP	MMP-ML_2-ED3052	Sonication	NA
ED3052	ED3052	MMP	ML_3	MMP	MMP-ML_3-ED3052	Sonication	NA
ED3052	ED3052	MMP	ML_5	MMP	MMP-ML_5-ED3052	Sonication	NA
ED3052	ED3052	MMP	ML_6	MMP	MMP-ML_6-ED3052	Sonication	NA
ED3052	ED3052	MMP	ML_7	MMP	MMP-ML_7-ED3052	Sonication	NA
EG4725	EG4725	BGI1	RET2	Andersen	BGI1-RET2-EG4725	Tagmentation	ILLUMINACLIP:NexteraPE-PE.fa:2:80:10 MINLEN:45
EG4725	EG4725	BGI2	RET2	Andersen	BGI2-RET2-EG4725	Tagmentation	ILLUMINACLIP:NexteraPE-PE.fa:2:80:10 MINLEN:45
EG4725	EG4725	BGI3	RET2a	Andersen	BGI3-RET2a-EG4725	Tagmentation	ILLUMINACLIP:NexteraPE-PE.fa:2:80:10 MINLEN:45
EG4725	EG4725	Princeton1	PL_20	Princeton	Princeton1-PL_20-EG4725	Sonication	NA
EG4725	EG4725	UChicago	EA1	Andersen	UChicago-EA1-EG4725	Tagmentation	ILLUMINACLIP:NexteraPE-PE.fa:2:80:10 MINLEN:45
EG4725	EG4725	UChicago2	L007	Andersen	UChicago2-L007-EG4725	Tagmentation	ILLUMINACLIP:NexteraPE-PE.fa:2:80:10 MINLEN:45
DL238	DL238	BGI1	RET1	Andersen	BGI1-RET1-DL238	Tagmentation	ILLUMINACLIP:NexteraPE-PE.fa:2:80:10 MINLEN:45
DL238	DL238	BGI2	RET1	Andersen	BGI2-RET1-DL238	Tagmentation	ILLUMINACLIP:NexteraPE-PE.fa:2:80:10 MINLEN:45
DL238	DL238	BGI3	RET1a	Andersen	BGI3-RET1a-DL238	Tagmentation	ILLUMINACLIP:NexteraPE-PE.fa:2:80:10 MINLEN:45
DL238	DL238	Princeton1	PL_12	Princeton	Princeton1-PL_12-DL238	Sonication	NA
DL238	DL238	Princeton1	PL_21	Princeton	Princeton1-PL_21-DL238	Sonication	NA
DL238	DL238	Princeton2	P	Princeton	Princeton2-P-DL238	Sonication	NA
ED3046	ED3046	BGI1	RET2	Andersen	BGI1-RET2-ED3046	Tagmentation	ILLUMINACLIP:NexteraPE-PE.fa:2:80:10 MINLEN:45
ED3046	ED3046	BGI2	RET2	Andersen	BGI2-RET2-ED3046	Tagmentation	ILLUMINACLIP:NexteraPE-PE.fa:2:80:10 MINLEN:45
ED3046	ED3046	BGI3	RET2b	Andersen	BGI3-RET2b-ED3046	Tagmentation	ILLUMINACLIP:NexteraPE-PE.fa:2:80:10 MINLEN:45
ED3046	ED3046	Princeton1	PL_13	Princeton	Princeton1-PL_13-ED3046	Sonication	NA
ED3046	ED3046	Princeton1	PL_14	Princeton	Princeton1-PL_14-ED3046	Sonication	NA
CB4858	AB4	BGI1	RET2	Andersen	BGI1-RET2-AB4	Tagmentation	ILLUMINACLIP:NexteraPE-PE.fa:2:80:10 MINLEN:45
CB4858	ECA251	BGI1	RET4	Andersen	BGI1-RET4-ECA251	Tagmentation	ILLUMINACLIP:NexteraPE-PE.fa:2:80:10 MINLEN:45
CB4858	AB4	BGI2	RET2	Andersen	BGI2-RET2-AB4	Tagmentation	ILLUMINACLIP:NexteraPE-PE.fa:2:80:10 MINLEN:45
CB4858	ECA251	BGI2	RET4	Andersen	BGI2-RET4-ECA251	Tagmentation	ILLUMINACLIP:NexteraPE-PE.fa:2:80:10 MINLEN:45
CB4858	AB4	BGI3	RET2a	Andersen	BGI3-RET2a-AB4	Tagmentation	ILLUMINACLIP:NexteraPE-PE.fa:2:80:10 MINLEN:45
CB4858	ECA251	BGI3	RET4b	Andersen	BGI3-RET4b-ECA251	Tagmentation	ILLUMINACLIP:NexteraPE-PE.fa:2:80:10 MINLEN:45
CB4858	AB3	MMP	ML_2	MMP	MMP-ML_2-AB3	Sonication	NA
CB4858	AB3	MMP	ML_3	MMP	MMP-ML_3-AB3	Sonication	NA
CB4858	AB3	MMP	ML_5	MMP	MMP-ML_5-AB3	Sonication	NA
CB4858	AB3	MMP	ML_6	MMP	MMP-ML_6-AB3	Sonication	NA
CB4858	AB3	MMP	ML_7	MMP	MMP-ML_7-AB3	Sonication	NA
CB4858	AB4	Princeton1	PL_10	Princeton	Princeton1-PL_10-AB4	Sonication	NA
CB4858	AB4	Princeton1	PL_11	Princeton	Princeton1-PL_11-AB4	Sonication	NA
CB4858	AB4	Princeton1	PL_12	Princeton	Princeton1-PL_12-AB4	Sonication	NA
CB4858	AB2	Rockman	R999.1	Rockman	Rockman-R999.1-AB2	Sonication	NA
ED3077	ED3077	BGI1	RET7	Andersen	BGI1-RET7-ED3077	Tagmentation	ILLUMINACLIP:NexteraPE-PE.fa:2:80:10 MINLEN:45
ED3077	ED3077	BGI2	RET7	Andersen	BGI2-RET7-ED3077	Tagmentation	ILLUMINACLIP:NexteraPE-PE.fa:2:80:10 MINLEN:45
ED3077	ED3077	BGI3	RET7a	Andersen	BGI3-RET7a-ED3077	Tagmentation	ILLUMINACLIP:NexteraPE-PE.fa:2:80:10 MINLEN:45
ED3077	ED3077	Princeton1	PL_23	Princeton	Princeton1-PL_23-ED3077	Sonication	NA
ED3040	ED3040	BGI1	RET7	Andersen	BGI1-RET7-ED3040	Tagmentation	ILLUMINACLIP:NexteraPE-PE.fa:2:80:10 MINLEN:45
ED3040	ED3040	BGI2	RET7	Andersen	BGI2-RET7-ED3040	Tagmentation	ILLUMINACLIP:NexteraPE-PE.fa:2:80:10 MINLEN:45
ED3040	ED3040	BGI3	RET7a	Andersen	BGI3-RET7a-ED3040	Tagmentation	ILLUMINACLIP:NexteraPE-PE.fa:2:80:10 MINLEN:45
ED3040	ED3040	MMP	ML_2	MMP	MMP-ML_2-ED3040	Sonication	NA
ED3040	ED3040	MMP	ML_3	MMP	MMP-ML_3-ED3040	Sonication	NA
ED3040	ED3040	MMP	ML_5	MMP	MMP-ML_5-ED3040	Sonication	NA
ED3040	ED3040	MMP	ML_6	MMP	MMP-ML_6-ED3040	Sonication	NA
ED3040	ED3040	MMP	ML_7	MMP	MMP-ML_7-ED3040	Sonication	NA
ED3040	ED3040	Princeton1	PL_10	Princeton	Princeton1-PL_10-ED3040	Sonication	NA
ED3040	ED3040	Princeton1	PL_11	Princeton	Princeton1-PL_11-ED3040	Sonication	NA
ED3017	ED3017	BGI1	RET2	Andersen	BGI1-RET2-ED3017	Tagmentation	ILLUMINACLIP:NexteraPE-PE.fa:2:80:10 MINLEN:45
ED3017	ED3017	BGI2	RET2	Andersen	BGI2-RET2-ED3017	Tagmentation	ILLUMINACLIP:NexteraPE-PE.fa:2:80:10 MINLEN:45
ED3017	ED3017	BGI3	RET2a	Andersen	BGI3-RET2a-ED3017	Tagmentation	ILLUMINACLIP:NexteraPE-PE.fa:2:80:10 MINLEN:45
ED3017	ED3017	MMP	ML_2	MMP	MMP-ML_2-ED3017	Sonication	NA
ED3017	ED3017	MMP	ML_3	MMP	MMP-ML_3-ED3017	Sonication	NA
ED3017	ED3017	MMP	ML_5	MMP	MMP-ML_5-ED3017	Sonication	NA
ED3017	ED3017	MMP	ML_6	MMP	MMP-ML_6-ED3017	Sonication	NA
ED3017	ED3017	MMP	ML_7	MMP	MMP-ML_7-ED3017	Sonication	NA
ED3017	ED3017	Princeton1	PL_23	Princeton	Princeton1-PL_23-ED3017	Sonication	NA
ED3017	ED3017	UChicago2	L007	Andersen	UChicago2-L007-ED3017	Tagmentation	ILLUMINACLIP:NexteraPE-PE.fa:2:80:10 MINLEN:45
JU1212	JU1212	BGI1	RET6	Andersen	BGI1-RET6-JU1212	Tagmentation	ILLUMINACLIP:NexteraPE-PE.fa:2:80:10 MINLEN:45
