Strain	Isotype	Source Lab	Isolated By	Sampled By	Latitude	Longitude	City	State	Country	Isolation Date	notes
NIC199	NIC199	NIC	D. Bourc’his and J. Dumont	D. Bourc’his and J. Dumont	37.745428	-25.19929	Faial da Terra	Azores	Portugal	2011-03-09	
NIC2	NIC2	NIC	C. Braendle	C. Braendle	43.279	5.3543	Marseille	Provence-Alpes-Côte d'Azur	France	2008-09-14	
NIC200	NIC199	NIC	D. Bourc’his and J. Dumont	D. Bourc’his and J. Dumont	37.74942	-25.66489	Ponta Delgada	Azores	Portugal	2011-05-09	
NIC207	NIC207	NIC	C. Braendle	C. Braendle	43.720505	7.24045	Nice	Provence-Alpes-Côte d'Azur	France	2011-09-21	
NIC231	NIC231	NIC	C. Braendle	C. Braendle	43.720505	7.24045	Nice	Provence-Alpes-Côte d'Azur	France	2011-11-14	
NIC232	NIC231	NIC	C. Braendle	C. Braendle	43.720505	7.24045	Nice	Provence-Alpes-Côte d'Azur	France	2011-11-14	
NIC236	NIC236	NIC	C. Braendle	C. Braendle	39.242006	-9.313417	Lourinhã	Lisboa	Portugal	2011-11-26	
NIC237	NIC236	NIC	C. Braendle	C. Braendle	39.242006	-9.313417	Lourinhã	Lisboa	Portugal	2011-11-26	
NIC242	NIC242	NIC	C. Braendle	C. Braendle	38.691765	-9.31609	Oeiras	Lisbon Metropolitan Area	Portugal	2008-08-17	Isolated at IGC (Instituto Gulbenkian de Ciência)
NIC251	NIC251	NIC	S. Carvalho	S. Carvalho	38.66621	-28.151364	Ribeira do Nabo	Azores	Portugal	Only year and month are known (08-2012)	Isolated in the Azores, on the island of São Jorge
NIC252	NIC252	NIC	S. Carvalho	S. Carvalho	38.661313	-28.147949	Ribeira do Nabo	Azores	Portugal	Only year and month are known (08-2012)	Isolated in the Azores, on the island of São Jorge
NIC255	NIC255	NIC	C. Braendle	C. Braendle	43.714834	7.266779	Nice	Provence-Alpes-Côte d'Azur	France	2012-11-18	Isolated in Parc de Valrose
NIC256	NIC256	NIC	C. Braendle	C. Braendle	38.71829	-9.14875	Lisbon	Lisbon Metropolitan Area	Portugal	2012-12-02	
NIC258	NIC258	NIC	C. Braendle	C. Braendle	38.71829	-9.14875	Lisbon	Lisbon Metropolitan Area	Portugal	2012-12-02	
NIC259	NIC259	NIC	C. Braendle	C. Braendle	38.71829	-9.14875	Lisbon	Lisbon Metropolitan Area	Portugal	2012-12-02	
NIC260	NIC260	NIC	C. Braendle	C. Braendle	38.71829	-9.14875	Lisbon	Lisbon Metropolitan Area	Portugal	2012-12-02	
NIC261	NIC261	NIC	C. Braendle	C. Braendle	38.71829	-9.14875	Lisbon	Lisbon Metropolitan Area	Portugal	2012-12-02	
NIC262	NIC262	NIC	C. Braendle	C. Braendle	38.71829	-9.14875	Lisbon	Lisbon Metropolitan Area	Portugal	2012-12-02	
NIC263	NIC256	NIC	C. Braendle	C. Braendle	38.71829	-9.14875	Lisbon	Lisbon Metropolitan Area	Portugal	2012-12-02	
NIC265	NIC265	NIC	C. Braendle	C. Braendle	38.71829	-9.14875	Lisbon	Lisbon Metropolitan Area	Portugal	2012-12-02	
NIC266	NIC266	NIC	C. Braendle	C. Braendle	38.69237	-9.31592	Oeiras	Lisbon Metropolitan Area	Portugal	2012-12-07	Isolated in Jardim do Palacio do Marques de Pombal
NIC267	NIC267	NIC	C. Braendle	C. Braendle	38.69237	-9.31592	Oeiras	Lisbon Metropolitan Area	Portugal	2012-12-07	Isolated in Jardim do Palacio do Marques de Pombal
NIC268	NIC268	NIC	C. Braendle	C. Braendle	38.69237	-9.31592	Oeiras	Lisbon Metropolitan Area	Portugal	2012-12-07	Isolated in Jardim do Palacio do Marques de Pombal
NIC269	NIC269	NIC	C. Braendle	C. Braendle	38.69237	-9.31592	Oeiras	Lisbon Metropolitan Area	Portugal	2012-12-07	Isolated in Jardim do Palacio do Marques de Pombal
NIC270	NIC267	NIC	C. Braendle	C. Braendle	38.69237	-9.31592	Oeiras	""	Portugal	2012-12-07	Isolated in Jardim do Palacio do Marques de Pombal
NIC271	NIC271	NIC	C. Braendle	C. Braendle	38.69237	-9.31592	Oeiras	Lisbon Metropolitan Area	Portugal	2012-12-07	Isolated in Jardim do Palacio do Marques de Pombal
NIC272	NIC272	NIC	C. Braendle	C. Braendle	39.769459	-8.756356	Boa Vista	Leiria District	Portugal	2012-12-09	Isolated in a garden near an old farmhouse
NIC273	NIC272	NIC	C. Braendle	C. Braendle	39.769459	-8.756356	Boa Vista	Leiria District	Portugal	2012-12-09	Isolated in a garden near an old farmhouse
NIC274	NIC274	NIC	C. Braendle	C. Braendle	39.769459	-8.756356	Boa Vista	Leiria District	Portugal	2012-12-09	Isolated in a garden near an old farmhouse
NIC275	NIC275	NIC	C. Braendle	C. Braendle	39.769459	-8.756356	Boa Vista	Leiria District	Portugal	2012-12-09	Isolated in a garden near an old farmhouse
NIC276	NIC276	NIC	C. Braendle	C. Braendle	39.769459	-8.756356	Boa Vista	Leiria District	Portugal	2012-12-09	Isolated in a garden near an old farmhouse
NIC277	NIC277	NIC	C. Braendle	C. Braendle	43.716441	7.266138	Nice	Provence-Alpes-Côte d'Azur	France	2012-12-15	Isolated in Parc de Valrose
NIC3	NIC3	NIC	C. Braendle	C. Braendle	43.3636	5.3215	Marseille	Provence-Alpes-Côte d'Azur	France	2008-09-28	
NIC4	NIC3	NIC	C. Braendle	C. Braendle	43.3636	5.3215	Marseille	Provence-Alpes-Côte d'Azur	France	2008-09-28	
PB303	PB303	CGC	S. Baird	S. Baird			""	""	""	1998-11-14	Porcellio scaber obtained from Ward's Biological Supply
PS2025	PS2025	CGC	J. Demodena	J. Demodena	34.19	-118.13	Altadena	California	United States		
PX174	RC301	CGC					""	""	""		Likely contaminated with RC301
PX179	PX179	CGC	B. White	B. White	44.035	-123.058	Eugene	Oregon	United States	2001-10-02	Isolated in northwest Hendricks Park, northwest rhododendron garden, Eugene, OR.
QG2075	QG2075	QG		M. Rockman	33.951	-83.376	Athens	Georgia	United States	2013-02-20	
QG536	QG536	QG		M. Rockman	37.7502	-122.4331	San Francisco	California	United States	2010-12-30	
QG537	QG536	QG		M. Rockman	37.7502	-122.4331	San Francisco	California	United States	2010-12-30	
QG538	QG536	QG		M. Rockman	37.7502	-122.4331	San Francisco	California	United States	2010-12-30	
QG556	QG556	QG		A. Paaby	34.421629	-119.702021	Santa Barbara	California	United States	2011-06-27	
QG557	QG557	QG		A. Paaby	34.421629	-119.702021	Santa Barbara	California	United States	2011-06-27	
QG558	QG556	QG		A. Paaby	34.421629	-119.702021	Santa Barbara	California	United States	2011-06-27	
QW947	QW947	QW	M. Alkema	M. Alkema	-33.4213	-70.6106	Santiago	Santiago Metropolitan Region	Chile	2013-04-12	
QX1211	QX1211	QX	M. Rockman	M. Rockman	37.7502	-122.4331	San Francisco	California	United States	2007-11-26	
QX1212	QX1212	QX	M. Rockman	M. Rockman	37.7502	-122.4331	San Francisco	California	United States	2007-11-26	
QX1213	QX1212	QX	M. Rockman	M. Rockman	37.7502	-122.4331	San Francisco	California	United States	2007-11-26	
QX1214	QX1212	QX	M. Rockman	M. Rockman	37.7502	-122.4331	San Francisco	California	United States	2007-11-26	
QX1215	QX1211	QX	M. Rockman	M. Rockman	37.7502	-122.4331	San Francisco	California	United States	2007-11-26	
QX1216	QX1211	QX	M. Rockman	M. Rockman	37.7502	-122.4331	San Francisco	California	United States	2007-11-26	
QX1233	QX1233	QX	M. Rockman	M. Rockman	37.8804	-122.2838	Berkeley	California	United States	2007-11-24	
QX1791	QX1791	QX	E. Andersen	E.Andersen	20.6344	-156.3935	Kula	Hawaii	United States	2011-01-27	
QX1792	QX1792	QX	E. Andersen	E.Andersen	20.70554	-156.35475	Kula	Hawaii	United States	2011-01-28	
QX1793	QX1793	QX	E. Andersen	E.Andersen	20.70559	-156.35678	Kula	Hawaii	United States	2011-01-28	
QX1794	QX1794	QX	E. Andersen	E.Andersen	20.70559	-156.35678	Kula	Hawaii	United States	2011-01-28	
RC301	RC301	CGC	R. Cassada	R. Cassada	47.99	7.84	Freiburg im Breisgau	Baden-Württemberg	Germany	Only year (1983) is known	Reference WBG 9(3) 29 and 10(2) 140-141. npr-1 pka bor-1
WN2001	WN2001	WN		J. Riksen	51.954422	6.303406	Doetinchem	Gelderland	Netherlands	2008-06-26	
WN2002	WN2002	WN	J. Riksen	J. Riksen	51.975285	5.694834	Wageningen	Gelderland	Netherlands	2007-11-20	
WN2010	WN2001	WN		J. Riksen	51.954422	6.303406	Doetinchem	Gelderland	Netherlands	2008-06-26	
WN2011	WN2001	WN		J. Riksen	51.954422	6.303406	Doetinchem	Gelderland	Netherlands	2008-06-26	
WN2013	WN2001	WN		J. Riksen	51.954422	6.303406	Doetinchem	Gelderland	Netherlands	2008-06-26	
WN2014	WN2001	WN		J. Riksen	51.954422	6.303406	Doetinchem	Gelderland	Netherlands	2008-06-26	
WN2016	WN2001	WN		J. Riksen	51.954422	6.303406	Doetinchem	Gelderland	Netherlands	2008-06-26	
WN2017	WN2001	WN		J. Riksen	51.954422	6.303406	Doetinchem	Gelderland	Netherlands	2008-06-26	
WN2018	WN2001	WN		J. Riksen	51.954422	6.303406	Doetinchem	Gelderland	Netherlands	2008-06-26	
WN2019	WN2001	WN		J. Riksen	51.954422	6.303406	Doetinchem	Gelderland	Netherlands	2008-06-26	
WN2020	WN2001	WN		J. Riksen	51.954422	6.303406	Doetinchem	Gelderland	Netherlands	2008-06-26	
WN2021	WN2001	WN		J. Riksen	51.954422	6.303406	Doetinchem	Gelderland	Netherlands	2008-06-26	
